State,District,Year,Annual Total Rainfall (mm),Annual Rainfall Anomaly (mm),Extreme Rainfall Days (90th Percentile),Very Heavy Rainfall Days (>50mm),Longest Consecutive Dry Spell (days),Longest Consecutive Wet Spell (days),Maximum Daily Rainfall (mm),Hazard Score
Andaman And Nicobar Islands,Nicobar ,2010,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2011,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2012,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2013,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2014,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2015,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2016,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2017,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2018,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2019,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2020,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2021,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2022,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2023,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2024,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2025,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2010,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2011,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2012,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2013,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2014,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2015,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2016,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2017,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2018,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2019,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2020,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2021,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2022,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2023,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2024,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2025,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2010,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2011,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2012,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2013,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2014,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2015,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2016,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2017,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2018,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2019,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2020,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2021,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2022,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2023,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2024,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2025,,,,,,,,
Andhra Pradesh,Anantapur,2010,822.9441999,145.8690395,45,0,75,12,46.0811701,0.45598125
Andhra Pradesh,Anantapur,2011,511.8670659,-165.2080945,24,0,105,10,27.7359537,0.254319951
Andhra Pradesh,Anantapur,2012,537.397124,-139.6780364,22,0,90,7,47.095788,0.220550884
Andhra Pradesh,Anantapur,2013,562.7372038,-114.3379566,27,0,46,13,32.7770629,0.223728146
Andhra Pradesh,Anantapur,2014,482.115662,-194.9594984,25,0,60,12,32.93094135,0.204677923
Andhra Pradesh,Anantapur,2015,777.7471087,100.6719482,52,0,59,12,29.74825377,0.401372839
Andhra Pradesh,Anantapur,2016,437.1146719,-239.9604885,23,0,103,8,34.38258819,0.208464969
Andhra Pradesh,Anantapur,2017,747.8617364,70.78657598,40,0,66,14,43.85233858,0.421184884
Andhra Pradesh,Anantapur,2018,386.5927965,-290.4823639,20,0,38,7,30.83140121,0.021135493
Andhra Pradesh,Anantapur,2019,658.8434254,-18.23173506,33,0,79,15,32.04821753,0.377495066
Andhra Pradesh,Anantapur,2020,950.4296704,273.35451,56,0,66,14,38.04449583,0.536560886
Andhra Pradesh,Anantapur,2021,988.534837,311.4596765,51,1,51,12,87.99739179,0.753600823
Andhra Pradesh,Anantapur,2022,911.1040313,234.0288709,49,0,78,13,38.70272962,0.502965334
Andhra Pradesh,Anantapur,2023,498.3630545,-178.7121059,32,0,75,9,22.52918398,0.195967702
Andhra Pradesh,Anantapur,2024,839.0777231,162.0025627,45,0,119,11,42.54935049,0.525325456
Andhra Pradesh,Anantapur,2025,720.472256,43.39709557,41,0,81,17,35.41666298,0.477619821
Andhra Pradesh,Chittoor,2010,1133.593338,67.32953609,37,0,93,20,47.0881343,0.446146091
Andhra Pradesh,Chittoor,2011,1000.442799,-65.82100287,38,0,50,15,47.5245077,0.288960749
Andhra Pradesh,Chittoor,2012,967.4995175,-98.76428406,31,1,78,13,60.38298125,0.37436387
Andhra Pradesh,Chittoor,2013,838.4756672,-227.7881343,29,0,46,14,41.02671117,0.192543693
Andhra Pradesh,Chittoor,2014,682.2242893,-384.0395122,20,0,60,6,32.25397218,0.066620912
Andhra Pradesh,Chittoor,2015,1488.037791,421.7739893,43,3,59,14,122.9238816,0.712834282
Andhra Pradesh,Chittoor,2016,698.6660265,-367.5977751,23,1,54,6,78.35856277,0.209564807
Andhra Pradesh,Chittoor,2017,1143.535886,77.27208467,44,0,36,24,33.88634471,0.368078231
Andhra Pradesh,Chittoor,2018,620.1834681,-446.0803335,19,0,38,8,41.37310099,0.039554528
Andhra Pradesh,Chittoor,2019,975.5763178,-90.68748377,29,0,69,16,46.79644573,0.295502088
Andhra Pradesh,Chittoor,2020,1374.444854,308.1810529,52,3,59,14,87.56590964,0.664884732
Andhra Pradesh,Chittoor,2021,1545.707711,479.4439094,59,2,49,23,100.7838259,0.75559912
Andhra Pradesh,Chittoor,2022,1168.785847,102.5220459,42,1,62,17,71.17434261,0.479129822
Andhra Pradesh,Chittoor,2023,1036.818555,-29.4452466,26,1,75,18,67.75652832,0.419453248
Andhra Pradesh,Chittoor,2024,1173.855884,107.5920821,44,3,114,17,65.73207662,0.700594572
Andhra Pradesh,Chittoor,2025,1212.372874,146.109072,49,1,50,17,54.5805707,0.460002366
Andhra Pradesh,East Godavari,2010,1874.049614,612.8631905,55,6,57,23,130.8774741,0.74850875
Andhra Pradesh,East Godavari,2011,964.4979586,-296.6884645,34,0,58,15,46.87696606,0.182253209
Andhra Pradesh,East Godavari,2012,1560.497644,299.3112206,41,3,62,40,177.0668007,0.730107445
Andhra Pradesh,East Godavari,2013,1163.195816,-97.99060752,27,5,60,18,79.23103274,0.386789498
Andhra Pradesh,East Godavari,2014,901.2017102,-359.9847129,19,2,64,20,93.4996658,0.26488435
Andhra Pradesh,East Godavari,2015,1231.74885,-29.43757318,33,1,63,21,111.3589487,0.382356037
Andhra Pradesh,East Godavari,2016,1175.474104,-85.71231907,40,2,37,31,71.11929338,0.364850635
Andhra Pradesh,East Godavari,2017,1052.656839,-208.5295837,34,0,68,20,32.15611823,0.247772435
Andhra Pradesh,East Godavari,2018,1121.265086,-139.921337,35,1,75,26,55.96017075,0.38312106
Andhra Pradesh,East Godavari,2019,1187.910808,-73.2756148,31,3,58,21,58.62761211,0.343487182
Andhra Pradesh,East Godavari,2020,1530.207165,269.020742,48,3,33,21,94.73519491,0.437327057
Andhra Pradesh,East Godavari,2021,1312.969812,51.7833891,31,2,61,20,82.37635505,0.367985948
Andhra Pradesh,East Godavari,2022,1329.447466,68.26104291,46,0,55,22,43.50885274,0.332920104
Andhra Pradesh,East Godavari,2023,1181.777674,-79.40874948,31,2,70,19,134.4994522,0.429404443
Andhra Pradesh,East Godavari,2024,1333.639441,72.45301825,43,2,80,36,65.6246833,0.579108443
Andhra Pradesh,East Godavari,2025,1258.442782,-2.743641273,37,1,82,17,52.20786053,0.375375236
Andhra Pradesh,Guntur,2010,1577.16922,576.9366677,54,6,94,16,109.6469035,0.826031074
Andhra Pradesh,Guntur,2011,629.7057514,-370.5268011,25,0,57,17,38.38081185,0.164011026
Andhra Pradesh,Guntur,2012,1143.593192,143.3606398,39,4,61,14,82.39061206,0.487942151
Andhra Pradesh,Guntur,2013,1186.263275,186.0307226,40,3,62,14,93.56859234,0.493461637
Andhra Pradesh,Guntur,2014,684.1066449,-316.1259076,23,2,51,8,79.53578619,0.176561232
Andhra Pradesh,Guntur,2015,807.9870457,-192.2455068,30,1,58,14,53.48033137,0.24365986
Andhra Pradesh,Guntur,2016,947.7360676,-52.49648491,33,1,124,15,52.43118843,0.409521048
Andhra Pradesh,Guntur,2017,848.1064584,-152.1260941,35,0,68,23,31.6999211,0.331004797
Andhra Pradesh,Guntur,2018,707.3599858,-292.8725667,25,1,75,16,59.26582772,0.260782094
Andhra Pradesh,Guntur,2019,941.9975639,-58.23498852,44,0,33,18,37.54280221,0.288703154
Andhra Pradesh,Guntur,2020,1222.985532,222.7529792,46,2,35,15,76.92349366,0.440357046
Andhra Pradesh,Guntur,2021,1068.009218,67.77666517,44,0,52,13,32.34400085,0.279968549
Andhra Pradesh,Guntur,2022,989.5445377,-10.68801472,39,0,107,17,41.64688764,0.395750147
Andhra Pradesh,Guntur,2023,1069.89702,69.66446788,37,2,75,14,84.2150338,0.436277232
Andhra Pradesh,Guntur,2024,1056.309445,56.07689252,32,2,128,17,131.5362289,0.612319107
Andhra Pradesh,Guntur,2025,1122.949882,122.7173295,39,2,93,10,83.22430011,0.441842931
Andhra Pradesh,Krishna,2010,1851.74998,669.1953737,56,9,74,20,77.00495886,0.75956721
Andhra Pradesh,Krishna,2011,882.5952138,-299.9593922,25,1,57,18,59.26145317,0.218226069
Andhra Pradesh,Krishna,2012,1517.295023,334.740417,48,6,62,21,103.4066293,0.66249444
Andhra Pradesh,Krishna,2013,1261.241914,78.68730788,37,3,62,14,68.09553876,0.348239612
Andhra Pradesh,Krishna,2014,781.5187221,-401.0358839,21,2,75,11,76.77083144,0.182503196
Andhra Pradesh,Krishna,2015,1014.619091,-167.9355147,33,0,59,15,48.35332526,0.199791814
Andhra Pradesh,Krishna,2016,1035.665448,-146.8891585,30,2,103,15,53.01430976,0.31479791
Andhra Pradesh,Krishna,2017,908.1970967,-274.3575093,31,0,69,22,48.55850261,0.281805357
Andhra Pradesh,Krishna,2018,994.7793114,-187.7752946,26,2,75,15,77.09817455,0.291516779
Andhra Pradesh,Krishna,2019,1049.450913,-133.1036932,41,0,44,24,42.80318642,0.319758762
