State,District,Year,ANC 4+ visits %,Adequate child diet %,Child anaemia %,Child stunting %,Child underweight %,Clean fuel %,Drinking water access %,Early marriage %,Electricity access %,Institutional births %,Population below 15 %,Sanitation %,Sex ratio,Teen pregnancy %,Women 10+ schooling %,Women anaemia %,Women literacy %,Exposure Score
Andaman And Nicobar Islands,Nicobar,2015,64.9,10.2,50.5,20.3,10.5,39.3,99.8,8.3,99.6,96.1,25.4,85.9,957,3.8,43.7,55.2,87.5,0.733704983
Andaman And Nicobar Islands,Nicobar,2016,64.9,10.2,50.5,20.3,10.5,39.3,99.8,8.3,99.6,96.1,25.4,85.9,957,3.8,43.7,55.2,87.5,0.733704983
Andaman And Nicobar Islands,Nicobar,2019,71.7,19.4,37.7,21.6,24.6,56.9,98.8,11.4,97.9,97.8,23,83.5,973,1.8,53.5,38.3,4,0.72234603
Andaman And Nicobar Islands,Nicobar,2020,71.7,19.4,37.7,21.6,24.6,56.9,98.8,11.4,97.9,97.8,23,83.5,973,1.8,53.5,38.3,4,0.72234603
Andaman And Nicobar Islands,Nicobar,2021,71.7,19.4,37.7,21.6,24.6,56.9,98.8,11.4,97.9,97.8,23,83.5,973,1.8,53.5,38.3,4,0.72234603
Andaman And Nicobar Islands,North And Middle Andaman,2015,95.2,18.3,47.3,32.5,33.5,35.5,90.3,24.7,92.7,95,22.6,49.9,951,6.5,39.2,64.7,84,0.658400705
Andaman And Nicobar Islands,North And Middle Andaman,2016,95.2,18.3,47.3,32.5,33.5,35.5,90.3,24.7,92.7,95,22.6,49.9,951,6.5,39.2,64.7,84,0.658400705
Andaman And Nicobar Islands,North And Middle Andaman,2019,79.2,6.5,30.4,27,42.8,61.3,92.2,15.4,93.2,97.7,19.8,86.4,950,3.8,41,62.1,4,0.657980111
Andaman And Nicobar Islands,North And Middle Andaman,2020,79.2,6.5,30.4,27,42.8,61.3,92.2,15.4,93.2,97.7,19.8,86.4,950,3.8,41,62.1,4,0.657980111
Andaman And Nicobar Islands,North And Middle Andaman,2021,79.2,6.5,30.4,27,42.8,61.3,92.2,15.4,93.2,97.7,19.8,86.4,950,3.8,41,62.1,4,0.657980111
Andaman And Nicobar Islands,South Andaman,2015,93.4,11.5,49.6,20.1,18.5,77.3,96.4,14.1,98.8,97,24.2,84.4,989,3.9,53.2,67,86.7,0.760723902
Andaman And Nicobar Islands,South Andaman,2016,93.4,11.5,49.6,20.1,18.5,77.3,96.4,14.1,98.8,97,24.2,84.4,989,3.9,53.2,67,86.7,0.760723902
Andaman And Nicobar Islands,South Andaman,2019,85.9,22.3,43.4,21.1,17.4,91.9,97.9,17.1,99.6,99.5,21,89.3,967,2.8,57.5,57.7,4,0.749354196
Andaman And Nicobar Islands,South Andaman,2020,85.9,22.3,43.4,21.1,17.4,91.9,97.9,17.1,99.6,99.5,21,89.3,967,2.8,57.5,57.7,4,0.749354196
Andaman And Nicobar Islands,South Andaman,2021,85.9,22.3,43.4,21.1,17.4,91.9,97.9,17.1,99.6,99.5,21,89.3,967,2.8,57.5,57.7,4,0.749354196
Andhra Pradesh,Anantapur,2015,77.5,16.3,53,40.3,39.3,65.9,99.4,29,99.5,89.9,24,47.5,0,5.2,30.8,52.7,63.6,0.579237904
Andhra Pradesh,Anantapur,2016,77.5,16.3,53,40.3,39.3,65.9,99.4,29,99.5,89.9,24,47.5,0,5.2,30.8,52.7,63.6,0.579237904
Andhra Pradesh,Anantapur,2019,66.6,3.9,55.8,36,40.6,86.4,98.8,37.3,99.6,94.7,24.3,71.3,1,13.6,31.3,50.5,4,0.531111501
Andhra Pradesh,Anantapur,2020,66.6,3.9,55.8,36,40.6,86.4,98.8,37.3,99.6,94.7,24.3,71.3,1,13.6,31.3,50.5,4,0.531111501
Andhra Pradesh,Anantapur,2021,66.6,3.9,55.8,36,40.6,86.4,98.8,37.3,99.6,94.7,24.3,71.3,1,13.6,31.3,50.5,4,0.531111501
Andhra Pradesh,Chittoor,2015,70.4,3.7,46.6,31.4,32.4,59.4,99.8,26.6,99.4,94,23.4,40.9,79,14.7,39,48.8,69.3,0.580659581
Andhra Pradesh,Chittoor,2016,70.4,3.7,46.6,31.4,32.4,59.4,99.8,26.6,99.4,94,23.4,40.9,79,14.7,39,48.8,69.3,0.580659581
Andhra Pradesh,Chittoor,2019,65.3,6.2,54.9,27.1,27.9,86.6,98.5,28.1,99.7,97.1,22.6,74.6,1,19.7,40.3,51.8,4,0.567283638
