State,District,Year,Crimes Against Children (Cases),Crimes Against Women (Cases),Crimes Against SC Communities (Cases),Crimes Against ST Communities (Cases),Cybercrime Cases,Vulnerability Score
Andaman And Nicobar Islands,Nicobar,2020,27,28,0,0,0,0.15979623
Andaman And Nicobar Islands,Nicobar,2021,22,25,0,0,0,0.15241559
Andaman And Nicobar Islands,Nicobar,2022,27,32,0,0,1,0.176935341
Andaman And Nicobar Islands,Nicobar,2023,29,31,0,0,5,0.200413649
Andaman And Nicobar Islands,North And Middle Andaman,2020,52,53,0,0,2,0.212338374
Andaman And Nicobar Islands,North And Middle Andaman,2021,31,46,0,0,3,0.202528485
Andaman And Nicobar Islands,North And Middle Andaman,2022,22,28,0,0,2,0.177390018
Andaman And Nicobar Islands,North And Middle Andaman,2023,41,49,0,0,11,0.233162689
Andaman And Nicobar Islands,South Andaman,2020,62,62,0,2,3,0.257872839
Andaman And Nicobar Islands,South Andaman,2021,71,98,0,3,5,0.288170091
Andaman And Nicobar Islands,South Andaman,2022,97,118,0,3,25,0.330026464
Andaman And Nicobar Islands,South Andaman,2023,91,125,0,2,31,0.325681277
Andhra Pradesh,Alluri Sitharama Raju,2020,,,,,,
Andhra Pradesh,Alluri Sitharama Raju,2021,,,,,,
Andhra Pradesh,Alluri Sitharama Raju,2022,17,138,1,25,1,0.314644568
Andhra Pradesh,Alluri Sitharama Raju,2023,15,106,4,16,13,0.361403209
Andhra Pradesh,Anakapalli,2020,,,,,,
Andhra Pradesh,Anakapalli,2021,,,,,,
Andhra Pradesh,Anakapalli,2022,65,709,75,16,55,0.551962238
Andhra Pradesh,Anakapalli,2023,50,548,70,15,55,0.535825819
Andhra Pradesh,Anantapur,2020,285,1129,172,29,41,0.634847024
Andhra Pradesh,Anantapur,2021,301,1102,131,31,55,0.63507826
Andhra Pradesh,Anantapur,2022,,,,,,
Andhra Pradesh,Anantapur,2023,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Andhra Pradesh,Annamayya,2020,,,,,,
Andhra Pradesh,Annamayya,2021,,,,,,
Andhra Pradesh,Annamayya,2022,49,611,27,6,5,0.4395654
Andhra Pradesh,Annamayya,2023,42,399,24,2,53,0.442990153
Andhra Pradesh,Bapatla,2020,,,,,,
Andhra Pradesh,Bapatla,2021,,,,,,
Andhra Pradesh,Bapatla,2022,68,864,43,12,17,0.509790796
Andhra Pradesh,Bapatla,2023,185,999,154,41,93,0.64422539
Andhra Pradesh,Chittoor,2020,118,647,98,28,87,0.597339157
Andhra Pradesh,Chittoor,2021,107,646,98,26,51,0.58206652
Andhra Pradesh,Chittoor,2022,85,723,115,8,57,0.55427025
Andhra Pradesh,Chittoor,2023,51,649,87,4,56,0.513439767
Andhra Pradesh,Cuddapah,2020,71,650,52,5,4,0.461453538
Andhra Pradesh,Cuddapah,2021,90,708,111,3,20,0.509836078
Andhra Pradesh,Cuddapah,2022,,,,,,
Andhra Pradesh,Cuddapah,2023,,,,,,
Andhra Pradesh,Dr B R Ambedkar Konaseema,2020,,,,,,
Andhra Pradesh,Dr B R Ambedkar Konaseema,2021,,,,,,
Andhra Pradesh,Dr B R Ambedkar Konaseema,2022,117,909,83,0,29,0.4802802
Andhra Pradesh,Dr B R Ambedkar Konaseema,2023,140,864,48,0,102,0.492189256
Andhra Pradesh,East Godavari,2020,202,1199,161,29,68,0.635857089
Andhra Pradesh,East Godavari,2021,206,1221,136,36,107,0.646842976
Andhra Pradesh,East Godavari,2022,194,1229,110,4,78,0.574651932
Andhra Pradesh,East Godavari,2023,102,960,64,2,126,0.531618925
Andhra Pradesh,Eluru,2020,,,,,,
Andhra Pradesh,Eluru,2021,,,,,,
Andhra Pradesh,Eluru,2022,192,1501,142,28,73,0.63635962
Andhra Pradesh,Eluru,2023,188,1352,117,11,71,0.601409534
Andhra Pradesh,Guntakal Railway,2020,3,9,0,0,0,0.087140552
Andhra Pradesh,Guntakal Railway,2021,2,9,0,0,0,0.080005865
Andhra Pradesh,Guntakal Railway,2022,2,6,2,0,0,0.105622247
Andhra Pradesh,Guntakal Railway,2023,2,6,0,0,0,0.071833295
Andhra Pradesh,Guntur,2020,198,1415,133,42,79,0.646776289
Andhra Pradesh,Guntur,2021,217,1457,87,28,101,0.630331135
Andhra Pradesh,Guntur,2022,192,2261,136,33,348,0.680758034
Andhra Pradesh,Guntur,2023,260,2068,100,22,287,0.661569185
Andhra Pradesh,Guntur Urban,2020,127,769,40,13,157,0.566858496
Andhra Pradesh,Guntur Urban,2021,149,1003,74,17,211,0.60874146
Andhra Pradesh,Guntur Urban,2022,,,,,,
Andhra Pradesh,Guntur Urban,2023,,,,,,
Andhra Pradesh,Kakinada,2020,,,,,,
Andhra Pradesh,Kakinada,2021,,,,,,
Andhra Pradesh,Kakinada,2022,120,848,75,6,53,0.544638897
Andhra Pradesh,Kakinada,2023,178,581,46,6,39,0.524779317
Andhra Pradesh,Krishna,2020,205,1436,91,10,74,0.595584627
Andhra Pradesh,Krishna,2021,166,1137,70,11,47,0.57045713
Andhra Pradesh,Krishna,2022,239,1622,81,8,77,0.593611161
Andhra Pradesh,Krishna,2023,216,1312,64,6,73,0.570751958
Andhra Pradesh,Kurnool,2020,101,1690,335,30,165,0.667991952
Andhra Pradesh,Kurnool,2021,114,1393,233,26,84,0.637720097
Andhra Pradesh,Kurnool,2022,51,814,141,10,18,0.533711991
Andhra Pradesh,Kurnool,2023,63,826,141,13,41,0.562409593
Andhra Pradesh,N T R,2020,,,,,,
Andhra Pradesh,N T R,2021,,,,,,
Andhra Pradesh,N T R,2022,554,2366,83,16,156,0.656525897
Andhra Pradesh,N T R,2023,312,2221,62,30,163,0.650323637
Andhra Pradesh,Nandyal,2020,,,,,,
Andhra Pradesh,Nandyal,2021,,,,,,
Andhra Pradesh,Nandyal,2022,78,927,136,19,43,0.580455334
Andhra Pradesh,Nandyal,2023,70,1092,108,18,27,0.56379371
Andhra Pradesh,Nellore,2020,240,949,117,27,69,0.62330816
Andhra Pradesh,Nellore,2021,113,875,98,28,65,0.59729777
Andhra Pradesh,Nellore,2022,,,,,,
Andhra Pradesh,Nellore,2023,,,,,,
Andhra Pradesh,Palnadu,2020,,,,,,
Andhra Pradesh,Palnadu,2021,,,,,,
Andhra Pradesh,Palnadu,2022,108,868,70,15,30,0.553088724
Andhra Pradesh,Palnadu,2023,39,331,39,14,23,0.481426702
Andhra Pradesh,Parvathipuram Manyam,2020,,,,,,
Andhra Pradesh,Parvathipuram Manyam,2021,,,,,,
Andhra Pradesh,Parvathipuram Manyam,2022,46,277,30,11,16,0.460000226
Andhra Pradesh,Parvathipuram Manyam,2023,27,230,20,16,32,0.454592576
Andhra Pradesh,Prakasam,2020,148,1390,171,21,62,0.622566536
Andhra Pradesh,Prakasam,2021,91,1185,184,26,69,0.617285337
Andhra Pradesh,Prakasam,2022,83,1145,176,35,90,0.626585465
Andhra Pradesh,Prakasam,2023,130,1211,185,35,95,0.641508902
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Andhra Pradesh,Rajahmundry,2020,121,593,81,8,120,0.562780865
Andhra Pradesh,Rajahmundry,2021,127,592,86,5,88,0.547722491
Andhra Pradesh,Rajahmundry,2022,,,,,,
Andhra Pradesh,Rajahmundry,2023,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,111,1186,96,38,10,0.575125794
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,121,1011,94,30,66,0.603258043
Andhra Pradesh,Sri Sathya Sai,2020,,,,,,
Andhra Pradesh,Sri Sathya Sai,2021,,,,,,
Andhra Pradesh,Sri Sathya Sai,2022,76,618,59,19,67,0.554052437
Andhra Pradesh,Sri Sathya Sai,2023,52,554,80,26,23,0.538910515
Andhra Pradesh,Srikakulam,2020,83,457,74,9,64,0.535164907
Andhra Pradesh,Srikakulam,2021,74,489,76,14,64,0.546459118
Andhra Pradesh,Srikakulam,2022,76,647,57,7,99,0.535399051
Andhra Pradesh,Srikakulam,2023,47,584,64,6,40,0.502732371
Andhra Pradesh,Tirupathi Urban,2020,47,241,38,11,102,0.50125582
Andhra Pradesh,Tirupathi Urban,2021,65,363,81,18,211,0.569443995
Andhra Pradesh,Tirupathi Urban,2022,,,,,,
Andhra Pradesh,Tirupathi Urban,2023,,,,,,
Andhra Pradesh,Tirupati,2020,,,,,,
Andhra Pradesh,Tirupati,2021,,,,,,
Andhra Pradesh,Tirupati,2022,88,738,84,20,179,0.593742646
Andhra Pradesh,Tirupati,2023,69,685,88,9,172,0.565187868
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Andhra Pradesh,Vijayawada City,2020,165,971,44,2,176,0.539196617
Andhra Pradesh,Vijayawada City,2021,260,1466,61,7,133,0.592433307
Andhra Pradesh,Vijayawada City,2022,,,,,,
Andhra Pradesh,Vijayawada City,2023,,,,,,
Andhra Pradesh,Vijayawada Railway,2020,3,6,0,0,0,0.078967983
Andhra Pradesh,Vijayawada Railway,2021,2,5,0,0,1,0.082479664
Andhra Pradesh,Vijayawada Railway,2022,,,,,,
Andhra Pradesh,Vijayawada Railway,2023,,,,,,
Andhra Pradesh,Visakha Rural,2020,77,464,57,17,5,0.494062277
Andhra Pradesh,Visakha Rural,2021,81,477,64,20,35,0.540555969
Andhra Pradesh,Visakha Rural,2022,,,,,,
Andhra Pradesh,Visakha Rural,2023,,,,,,
Andhra Pradesh,Visakhapatnam,2020,160,1035,84,3,361,0.582430588
Andhra Pradesh,Visakhapatnam,2021,185,1890,135,9,323,0.638533679
Andhra Pradesh,Visakhapatnam,2022,178,1329,105,9,621,0.635194447
Andhra Pradesh,Visakhapatnam,2023,117,997,65,3,419,0.569126993
Andhra Pradesh,Vizianagaram,2020,91,635,81,16,81,0.56781535
Andhra Pradesh,Vizianagaram,2021,169,752,133,33,119,0.62988937
Andhra Pradesh,Vizianagaram,2022,126,690,94,16,122,0.590531326
Andhra Pradesh,Vizianagaram,2023,63,590,25,3,101,0.484347975
Andhra Pradesh,West Godavari,2020,203,1404,121,20,184,0.640710703
Andhra Pradesh,West Godavari,2021,150,982,156,23,91,0.622402512
Andhra Pradesh,West Godavari,2022,115,967,67,2,26,0.504448981
Andhra Pradesh,West Godavari,2023,66,800,90,1,59,0.5000434
Andhra Pradesh,Y. S. R.,2020,,,,,,
Andhra Pradesh,Y. S. R.,2021,,,,,,
Andhra Pradesh,Y. S. R.,2022,103,794,129,14,32,0.567896716
Andhra Pradesh,Y. S. R.,2023,93,725,80,9,71,0.552969256
Arunachal Pradesh,Anjaw,2020,0,0,0,0,0,0
Arunachal Pradesh,Anjaw,2021,3,4,0,0,0,0.071258322
Arunachal Pradesh,Anjaw,2022,2,4,0,0,0,0.064123635
Arunachal Pradesh,Anjaw,2023,3,4,0,0,0,0.071258322
Arunachal Pradesh,Changlang,2020,7,15,0,0,0,0.115100309
Arunachal Pradesh,Changlang,2021,7,11,0,0,0,0.108508588
Arunachal Pradesh,Changlang,2022,16,16,0,0,2,0.157655726
Arunachal Pradesh,Changlang,2023,2,9,0,0,0,0.080005865
Arunachal Pradesh,Crime Branch,2020,0,1,0,0,5,0.052533006
Arunachal Pradesh,Crime Branch,2021,0,2,0,0,2,0.047645059
Arunachal Pradesh,Crime Branch,2022,0,0,0,0,0,0
Arunachal Pradesh,Crime Branch,2023,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,2020,0,3,0,0,0,0.031764459
Arunachal Pradesh,Dibang Valley,2021,0,1,0,0,0,0.015882229
Arunachal Pradesh,Dibang Valley,2022,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,2023,1,2,0,0,0,0.042363202
Arunachal Pradesh,Kameng East,2020,4,6,0,0,0,0.084502076
Arunachal Pradesh,Kameng East,2021,3,10,0,0,1,0.10350287
Arunachal Pradesh,Kameng East,2022,5,14,0,0,1,0.120665293
Arunachal Pradesh,Kameng East,2023,3,10,0,0,0,0.089324414
Arunachal Pradesh,Kameng West,2020,4,9,0,0,0,0.092674645
Arunachal Pradesh,Kameng West,2021,5,10,0,0,0,0.099380191
Arunachal Pradesh,Kameng West,2022,5,8,0,0,0,0.094782181
Arunachal Pradesh,Kameng West,2023,7,12,0,0,9,0.157442435
Arunachal Pradesh,Kamle,2020,1,1,0,0,0,0.033072693
Arunachal Pradesh,Kamle,2021,2,4,0,0,1,0.078302091
Arunachal Pradesh,Kamle,2022,1,1,0,0,0,0.033072693
Arunachal Pradesh,Kamle,2023,1,2,0,0,0,0.042363202
Arunachal Pradesh,Kra Dadi,2020,0,0,0,0,0,0
Arunachal Pradesh,Kra Dadi,2021,0,2,0,0,0,0.025172738
