State,District,Year,Hazard Score,Exposure Score,Vulnerability Score,Risk Score,Risk Category
Andhra Pradesh,Anantapur,2020,0.536560886,0.531111501,0.634847024,0.5675064703,High Risk
Andhra Pradesh,Anantapur,2021,0.753600823,0.531111501,0.63507826,0.6399301947,High Risk
Andhra Pradesh,Chittoor,2020,0.664884732,0.567283638,0.597339157,0.6098358423,High Risk
Andhra Pradesh,Chittoor,2021,0.75559912,0.567283638,0.58206652,0.6349830927,High Risk
Andhra Pradesh,East Godavari,2020,0.437327057,0.639956368,0.635857089,0.571046838,High Risk
Andhra Pradesh,East Godavari,2021,0.367985948,0.639956368,0.646842976,0.5515950973,High Risk
Andhra Pradesh,Guntur,2020,0.440357046,0.559974284,0.646776289,0.549035873,High Risk
Andhra Pradesh,Guntur,2021,0.279968549,0.559974284,0.630331135,0.4900913227,Medium Risk
Andhra Pradesh,Krishna,2020,0.572393806,0.618455068,0.595584627,0.5954778337,High Risk
Andhra Pradesh,Krishna,2021,0.374780708,0.618455068,0.57045713,0.5212309687,Medium Risk
Andhra Pradesh,Kurnool,2020,0.610157037,0.49506745,0.667991952,0.5910721463,High Risk
Andhra Pradesh,Kurnool,2021,0.399342959,0.49506745,0.637720097,0.5107101687,Medium Risk
Andhra Pradesh,Prakasam,2020,0.570012609,0.573561837,0.622566536,0.5887136607,High Risk
Andhra Pradesh,Prakasam,2021,0.439176982,0.573561837,0.617285337,0.5433413853,High Risk
Andhra Pradesh,Srikakulam,2020,0.334662676,0.609862832,0.535164907,0.4932301383,Medium Risk
Andhra Pradesh,Srikakulam,2021,0.528741729,0.609862832,0.546459118,0.561687893,High Risk
Andhra Pradesh,Visakhapatnam,2020,0.331113061,0.554172997,0.582430588,0.489238882,Medium Risk
Andhra Pradesh,Visakhapatnam,2021,0.380449504,0.554172997,0.638533679,0.5243853933,Medium Risk
Andhra Pradesh,Vizianagaram,2020,0.260642473,0.517665318,0.56781535,0.4487077137,Medium Risk
Andhra Pradesh,Vizianagaram,2021,0.497348784,0.517665318,0.62988937,0.5483011573,High Risk
Andhra Pradesh,West Godavari,2020,0.509184702,0.581382497,0.640710703,0.577092634,High Risk
Andhra Pradesh,West Godavari,2021,0.489005473,0.581382497,0.622402512,0.564263494,High Risk
Arunachal Pradesh,Anjaw,2020,0.40212819,0.630941456,0,0.3443565487,Low Risk
Arunachal Pradesh,Anjaw,2021,0.289449452,0.630941456,0.071258322,0.3305497433,Low Risk
Arunachal Pradesh,Changlang,2020,0.321321038,0.593853286,0.115100309,0.3434248777,Low Risk
Arunachal Pradesh,Changlang,2021,0.159205045,0.593853286,0.108508588,0.287188973,Low Risk
Arunachal Pradesh,Dibang Valley,2020,0.408209494,0.627442765,0.031764459,0.3558055727,Low Risk
Arunachal Pradesh,Dibang Valley,2021,0.288096379,0.627442765,0.015882229,0.310473791,Low Risk
Arunachal Pradesh,Lower Dibang Valley,2020,0.483637425,0.667034002,0.085491672,0.4120543663,Medium Risk
Arunachal Pradesh,Lower Dibang Valley,2021,0.19300587,0.667034002,0.144233629,0.3347578337,Low Risk
Arunachal Pradesh,Tawang,2020,0.263892426,0.595020705,0.017190464,0.2920345317,Low Risk
Arunachal Pradesh,Tawang,2021,0.354332357,0.595020705,0.048954923,0.3327693283,Low Risk
Assam,Baksa,2020,0.510439587,0.468938849,0.344950331,0.4414429223,Medium Risk
Assam,Baksa,2021,0.238575132,0.468938849,0.340752015,0.3494219987,Low Risk
Assam,Barpeta,2020,0.543237992,0.470198894,0.417535947,0.4769909443,Medium Risk
Assam,Barpeta,2021,0.122965701,0.470198894,0.420861908,0.3380088343,Low Risk
Assam,Bongaigaon,2020,0.624685975,0.498868772,0.383528001,0.502360916,Medium Risk
Assam,Bongaigaon,2021,0.208209487,0.498868772,0.373429816,0.3601693583,Medium Risk
Assam,Cachar,2020,0.345158789,0.42661626,0.394694803,0.388823284,Medium Risk
Assam,Cachar,2021,0.191644236,0.42661626,0.416413732,0.3448914093,Low Risk
Assam,Chirang,2020,0.728136999,0.463769083,0.310608249,0.5008381103,Medium Risk
Assam,Chirang,2021,0.299038524,0.463769083,0.314343126,0.3590502443,Low Risk
Assam,Darrang,2020,0.261154932,0.482535686,0.366376479,0.3700223657,Medium Risk
Assam,Darrang,2021,0.237176125,0.482535686,0.346512616,0.3554081423,Low Risk
Assam,Dhemaji,2020,0.673068444,0.485575866,0.341512115,0.5000521417,Medium Risk
Assam,Dhemaji,2021,0.157028222,0.485575866,0.373486427,0.3386968383,Low Risk
Assam,Dibrugarh,2020,0.721958135,0.542752073,0.442815097,0.5691751017,High Risk
Assam,Dibrugarh,2021,0.053333333,0.542752073,0.41759858,0.337894662,Low Risk
Assam,Dima Hasao,2020,0.396335022,0.578725116,0.222797086,0.3992857413,Medium Risk
Assam,Dima Hasao,2021,0.100469631,0.578725116,0.181360864,0.2868518703,Low Risk
Assam,Goalpara,2020,0.657827232,0.450696709,0.328900741,0.4791415607,Medium Risk
Assam,Goalpara,2021,0.261851256,0.450696709,0.356603084,0.356383683,Low Risk
Assam,Golaghat,2020,0.334803597,0.510192627,0.3712732,0.4054231413,Medium Risk
Assam,Golaghat,2021,0.030612245,0.510192627,0.402347964,0.3143842787,Low Risk
Assam,Hailakandi,2020,0.412394533,0.402099026,0.335887971,0.38346051,Medium Risk
Assam,Hailakandi,2021,0.287538484,0.402099026,0.347173592,0.3456037007,Low Risk
Assam,Kamrup,2020,0.468317311,0.516977912,0.434713267,0.4733361633,Medium Risk
Assam,Kamrup,2021,0.312594918,0.516977912,0.418388481,0.4159871037,Medium Risk
Assam,Karimganj,2020,0.386297336,0.425163283,0.385846066,0.3991022283,Medium Risk
Assam,Karimganj,2021,0.235046823,0.425163283,0.356855997,0.3390220343,Low Risk
Assam,Kokrajhar,2020,0.791046127,0.459014465,0.413640085,0.5545668923,High Risk
Assam,Kokrajhar,2021,0.199385856,0.459014465,0.395999016,0.3514664457,Low Risk
Assam,Lakhimpur,2020,0.344696809,0.484042254,0.368867839,0.3992023007,Medium Risk
Assam,Lakhimpur,2021,0.063083989,0.484042254,0.386341335,0.3111558593,Low Risk
Assam,Morigaon,2020,0.526048463,0.451061572,0.351465259,0.4428584313,Medium Risk
Assam,Morigaon,2021,0.287891222,0.451061572,0.428276629,0.3890764743,Medium Risk
Assam,Nalbari,2020,0.407934337,0.535008875,0.323509136,0.4221507827,Medium Risk
Assam,Nalbari,2021,0.293028042,0.535008875,0.37506996,0.4010356257,Medium Risk
Assam,Tinsukia,2020,0.549723546,0.518644677,0.429903311,0.4994238447,Medium Risk
Assam,Tinsukia,2021,0.051717172,0.518644677,0.420450122,0.330270657,Low Risk
Assam,Udalguri,2020,0.411539006,0.463121281,0.243800344,0.3728202103,Medium Risk
Assam,Udalguri,2021,0.353772634,0.463121281,0.319108026,0.3786673137,Medium Risk
Bihar,Araria,2020,0.838566464,0.327080978,0.59620543,0.5872842907,High Risk
Bihar,Araria,2021,0.602760648,0.327080978,0.587700761,0.5058474623,Medium Risk
Bihar,Arwal,2020,0.465570998,0.402469203,0.38784516,0.4186284537,Medium Risk
Bihar,Arwal,2021,0.727505146,0.402469203,0.38210585,0.504026733,Medium Risk
Bihar,Aurangabad,2020,0.34624486,0.433412859,0.456369502,0.4120090737,Medium Risk
Bihar,Aurangabad,2021,0.78536608,0.433412859,0.482136939,0.5669719593,High Risk
Bihar,Banka,2020,0.33398913,0.349107824,0.501538384,0.394878446,Medium Risk
Bihar,Banka,2021,0.465052916,0.349107824,0.467170059,0.4271102663,Medium Risk
Bihar,Begusarai,2020,0.802367427,0.422447014,0.475784672,0.566866371,High Risk
Bihar,Begusarai,2021,0.666757194,0.422447014,0.447193311,0.5121325063,Medium Risk
Bihar,Bhagalpur,2020,0.520727932,0.407328762,0.498742874,0.475599856,Medium Risk
Bihar,Bhagalpur,2021,0.689304795,0.407328762,0.502911852,0.533181803,High Risk
Bihar,Bhojpur,2020,0.57754273,0.442783156,0.516409713,0.5122451997,Medium Risk
Bihar,Bhojpur,2021,0.723514469,0.442783156,0.506115405,0.55747101,High Risk
Bihar,Buxar,2020,0.501796265,0.449355372,0.463223487,0.4714583747,Medium Risk
Bihar,Buxar,2021,0.591931138,0.449355372,0.441552338,0.494279616,Medium Risk
Bihar,Darbhanga,2020,0.685461517,0.403275783,0.497722276,0.5288198587,High Risk
Bihar,Darbhanga,2021,0.882048446,0.403275783,0.505441242,0.5969218237,High Risk
Bihar,Gaya,2020,0.400822176,0.398499385,0.539874438,0.4463986663,Medium Risk
Bihar,Gaya,2021,0.83735744,0.398499385,0.533122818,0.589659881,High Risk
Bihar,Gopalganj,2020,0.83194495,0.494370747,0.465358466,0.597224721,High Risk
Bihar,Gopalganj,2021,0.715525947,0.494370747,0.501691038,0.570529244,High Risk
Bihar,Jamui,2020,0.484971382,0.357285297,0.459512491,0.4339230567,Medium Risk
Bihar,Jamui,2021,0.613474864,0.357285297,0.44746306,0.4727410737,Medium Risk
Bihar,Jehanabad,2020,0.618875187,0.397175766,0.420326079,0.478792344,Medium Risk
Bihar,Jehanabad,2021,0.731322876,0.397175766,0.406200138,0.51156626,Medium Risk
Bihar,Katihar,2020,0.733394462,0.342466163,0.506274268,0.5273782977,High Risk
Bihar,Katihar,2021,0.559821971,0.342466163,0.521959583,0.474749239,Medium Risk
Bihar,Khagaria,2020,0.663176736,0.412465349,0.42075465,0.4987989117,Medium Risk
Bihar,Khagaria,2021,0.657288791,0.412465349,0.417321199,0.4956917797,Medium Risk
Bihar,Kishanganj,2020,0.810380254,0.375168936,0.43179103,0.5391134067,High Risk
Bihar,Kishanganj,2021,0.290426148,0.375168936,0.461211465,0.375602183,Medium Risk
Bihar,Lakhisarai,2020,0.550987404,0.370345323,0.411820591,0.4443844393,Medium Risk
Bihar,Lakhisarai,2021,0.700035837,0.370345323,0.417597914,0.4959930247,Medium Risk
Bihar,Madhepura,2020,0.817122719,0.3332315,0.461747797,0.5373673387,High Risk
Bihar,Madhepura,2021,0.648051951,0.3332315,0.458889448,0.480057633,Medium Risk
Bihar,Madhubani,2020,0.67581676,0.422456479,0.48431258,0.5275286063,High Risk
Bihar,Madhubani,2021,0.887444959,0.422456479,0.476021099,0.5953075123,High Risk
Bihar,Munger,2020,0.504621066,0.475964194,0.522442467,0.5010092423,Medium Risk
Bihar,Munger,2021,0.598899347,0.475964194,0.528588591,0.534484044,High Risk
