State,District,Year,Hazard Score,Exposure Score,Vulnerability Score,Risk Score,Risk Category
AndamanandNicobar,NicobarIslands,2020,,,,,Low Risk
AndamanandNicobar,NicobarIslands,2021,,,,,Low Risk
AndamanandNicobar,NorthandMiddleAndaman,2020,,,,,Low Risk
AndamanandNicobar,NorthandMiddleAndaman,2021,,,,,Low Risk
AndamanandNicobar,SouthAndaman,2020,,,,,Low Risk
AndamanandNicobar,SouthAndaman,2021,,,,,Low Risk
AndhraPradesh,Anantapur,2020,0.536560886,,,,Low Risk
AndhraPradesh,Anantapur,2021,0.753600823,,,,Low Risk
AndhraPradesh,Chittoor,2020,0.664884732,,,,Low Risk
AndhraPradesh,Chittoor,2021,0.75559912,,,,Low Risk
AndhraPradesh,EastGodavari,2020,0.437327057,,,,Low Risk
AndhraPradesh,EastGodavari,2021,0.367985948,,,,Low Risk
AndhraPradesh,Guntur,2020,0.440357046,,,,Low Risk
AndhraPradesh,Guntur,2021,0.279968549,,,,Low Risk
AndhraPradesh,Krishna,2020,0.572393806,,,,Low Risk
AndhraPradesh,Krishna,2021,0.374780708,,,,Low Risk
AndhraPradesh,Kurnool,2020,0.610157037,,,,Low Risk
AndhraPradesh,Kurnool,2021,0.399342959,,,,Low Risk
AndhraPradesh,Nellore,2020,0.612416419,,,,Low Risk
AndhraPradesh,Nellore,2021,0.676129418,,,,Low Risk
AndhraPradesh,Prakasam,2020,0.570012609,,,,Low Risk
AndhraPradesh,Prakasam,2021,0.439176982,,,,Low Risk
AndhraPradesh,Srikakulam,2020,0.334662676,,,,Low Risk
AndhraPradesh,Srikakulam,2021,0.528741729,,,,Low Risk
AndhraPradesh,Visakhapatnam,2020,0.331113061,,,,Low Risk
AndhraPradesh,Visakhapatnam,2021,0.380449504,,,,Low Risk
AndhraPradesh,Vizianagaram,2020,0.260642473,,,,Low Risk
AndhraPradesh,Vizianagaram,2021,0.497348784,,,,Low Risk
AndhraPradesh,WestGodavari,2020,0.509184702,,,,Low Risk
AndhraPradesh,WestGodavari,2021,0.489005473,,,,Low Risk
AndhraPradesh,Y.S.R.,2020,0.779366461,,,,Low Risk
AndhraPradesh,Y.S.R.,2021,0.678340534,,,,Low Risk
ArunachalPradesh,Anjaw,2020,0.40212819,,,,Low Risk
ArunachalPradesh,Anjaw,2021,0.289449452,,,,Low Risk
ArunachalPradesh,Changlang,2020,0.321321038,,,,Low Risk
ArunachalPradesh,Changlang,2021,0.159205045,,,,Low Risk
ArunachalPradesh,DibangValley,2020,0.408209494,,,,Low Risk
ArunachalPradesh,DibangValley,2021,0.288096379,,,,Low Risk
ArunachalPradesh,EastKameng,2020,0.520930796,,,,Low Risk
ArunachalPradesh,EastKameng,2021,0.407019118,,,,Low Risk
ArunachalPradesh,EastSiang,2020,0.640559637,,,,Low Risk
ArunachalPradesh,EastSiang,2021,0.257485963,,,,Low Risk
ArunachalPradesh,KurungKumey,2020,0.365328196,,,,Low Risk
ArunachalPradesh,KurungKumey,2021,0.141844909,,,,Low Risk
ArunachalPradesh,Lohit,2020,0.353089427,,,,Low Risk
ArunachalPradesh,Lohit,2021,0.180341153,,,,Low Risk
ArunachalPradesh,Longding,2020,0.303385343,,,,Low Risk
ArunachalPradesh,Longding,2021,0.127434867,,,,Low Risk
ArunachalPradesh,LowerDibangValley,2020,0.483637425,,,,Low Risk
ArunachalPradesh,LowerDibangValley,2021,0.19300587,,,,Low Risk
ArunachalPradesh,LowerSubansiri,2020,0.222085107,,,,Low Risk
ArunachalPradesh,LowerSubansiri,2021,0.148449532,,,,Low Risk
ArunachalPradesh,Namsai,2020,0.405506426,,,,Low Risk
ArunachalPradesh,Namsai,2021,0.115360383,,,,Low Risk
ArunachalPradesh,PapumPare,2020,0.361303145,,,,Low Risk
ArunachalPradesh,PapumPare,2021,0.220921753,,,,Low Risk
ArunachalPradesh,Tawang,2020,0.263892426,,,,Low Risk
ArunachalPradesh,Tawang,2021,0.354332357,,,,Low Risk
ArunachalPradesh,Tirap,2020,0.371195659,,,,Low Risk
ArunachalPradesh,Tirap,2021,0.148058529,,,,Low Risk
ArunachalPradesh,UpperSiang,2020,0.565428614,,,,Low Risk
ArunachalPradesh,UpperSiang,2021,0.383190513,,,,Low Risk
ArunachalPradesh,UpperSubansiri,2020,0.272465679,,,,Low Risk
ArunachalPradesh,UpperSubansiri,2021,0.091578561,,,,Low Risk
ArunachalPradesh,WestKameng,2020,0.596328882,,,,Low Risk
ArunachalPradesh,WestKameng,2021,0.515203048,,,,Low Risk
ArunachalPradesh,WestSiang,2020,0.441872596,,,,Low Risk
ArunachalPradesh,WestSiang,2021,0.313146093,,,,Low Risk
Assam,Baksa,2020,0.510439587,0.468938849,0.344950331,0.441442922,Medium Risk
Assam,Baksa,2021,0.238575132,0.468938849,0.340752015,0.349421999,Low Risk
Assam,Barpeta,2020,0.543237992,0.470198894,0.417535947,0.476990945,Medium Risk
Assam,Barpeta,2021,0.122965701,0.470198894,0.420861908,0.338008834,Low Risk
Assam,Bongaigaon,2020,0.624685975,0.498868772,0.383528001,0.502360916,Medium Risk
Assam,Bongaigaon,2021,0.208209487,0.498868772,0.373429816,0.360169359,Medium Risk
Assam,Cachar,2020,0.345158789,0.42661626,0.394694803,0.388823284,Medium Risk
Assam,Cachar,2021,0.191644236,0.42661626,0.416413732,0.344891409,Low Risk
Assam,Chirang,2020,0.728136999,0.463769083,0.310608249,0.500838111,Medium Risk
Assam,Chirang,2021,0.299038524,0.463769083,0.314343126,0.359050244,Low Risk
Assam,Darrang,2020,0.261154932,0.482535686,0.366376479,0.370022365,Medium Risk
Assam,Darrang,2021,0.237176125,0.482535686,0.346512616,0.355408142,Low Risk
Assam,Dhemaji,2020,0.673068444,0.485575866,0.341512115,0.500052141,Medium Risk
Assam,Dhemaji,2021,0.157028222,0.485575866,0.373486427,0.338696838,Low Risk
Assam,Dhubri,2020,0.619578866,,0.363157928,,Low Risk
Assam,Dhubri,2021,0.294357616,,0.460894907,,Low Risk
Assam,Dibrugarh,2020,0.721958135,0.542752073,0.442815097,0.569175102,High Risk
Assam,Dibrugarh,2021,0.053333333,0.542752073,0.41759858,0.337894662,Low Risk
Assam,DimaHasao,2020,0.396335022,,,,Low Risk
Assam,DimaHasao,2021,0.100469631,,,,Low Risk
Assam,Goalpara,2020,0.657827232,0.450696709,0.328900741,0.479141561,Medium Risk
Assam,Goalpara,2021,0.261851256,0.450696709,0.356603084,0.356383683,Low Risk
Assam,Golaghat,2020,0.334803597,0.510192627,0.3712732,0.405423141,Medium Risk
