District,Year,Annual Total Rainfall (mm),Annual Rainfall Anomaly (mm),Extreme Rainfall Days (90th Percentile),Very Heavy Rainfall Days (>50mm),Longest Consecutive Dry Spell (days),Longest Consecutive Wet Spell (days),Maximum Daily Rainfall (mm),Rainfall Hazard Index (Tier-1),State
Ampara,2010,2066.675363,222.2159043,38,6,23,25,73.29464901,0.692471163,Eastern
Ampara,2011,2596.253048,751.7935887,49,9,15,30,82.27522547,0.756181405,Eastern
Ampara,2012,1890.200696,45.7412374,34,6,17,24,118.7854435,0.6695348,Eastern
Ampara,2013,1886.564261,42.10480163,37,3,15,14,79.71578441,0.468983486,Eastern
Ampara,2014,2136.151522,291.692063,41,9,23,14,94.45158835,0.752732662,Eastern
Ampara,2015,1786.804735,-57.65472355,34,1,16,34,53.75548598,0.473477145,Eastern
Ampara,2016,1242.257556,-602.2019025,19,3,15,21,70.63455021,0.374646762,Eastern
Ampara,2017,1748.978326,-95.48113318,35,2,17,21,52.32178811,0.440401379,Eastern
Ampara,2018,1745.697325,-98.76213378,32,0,12,31,47.76551729,0.362386033,Eastern
Ampara,2019,2034.167758,189.7082991,39,4,12,15,65.89348288,0.440162956,Eastern
Ampara,2020,1549.217982,-295.2414773,20,2,14,17,60.30363913,0.326204063,Eastern
Ampara,2021,2082.882673,238.4232137,40,1,12,33,51.00487204,0.449714054,Eastern
Ampara,2022,1850.001231,5.541771584,41,3,17,24,76.77065861,0.5521612,Eastern
Ampara,2023,2405.247538,560.7880785,48,3,11,37,66.48105756,0.57523566,Eastern
Ampara,2024,1877.807418,33.34795935,31,6,14,20,88.10157686,0.534216954,Eastern
Ampara,2025,2323.227608,478.7681487,46,8,13,42,79.34005199,0.733179459,Eastern
Ampara,2026,133.6757633,-1710.783696,4,0,19,8,36.42606847,0.111111111,Eastern
Anuradhapura,2010,1741.438699,258.6743207,44,1,28,24,59.28198823,0.51076478,North Central
Anuradhapura,2011,2052.041997,569.2776191,50,3,30,36,59.65387254,0.694709942,North Central
Anuradhapura,2012,1714.518144,231.7537657,42,4,63,18,110.0082892,0.789482256,North Central
Anuradhapura,2013,1287.360536,-195.4038419,27,0,33,10,49.0931629,0.308789891,North Central
Anuradhapura,2014,1976.055348,493.2909704,52,5,31,20,67.89633324,0.696643678,North Central
Anuradhapura,2015,1776.579234,293.8148563,49,2,45,40,57.92285156,0.707981637,North Central
Anuradhapura,2016,1015.668878,-467.0955001,21,2,38,19,76.22042411,0.445250396,North Central
Anuradhapura,2017,1392.409867,-90.35451061,28,1,27,18,58.33531552,0.39015859,North Central
Anuradhapura,2018,1365.223397,-117.5409808,23,0,27,33,42.35660517,0.387473443,North Central
Anuradhapura,2019,1435.014843,-47.74953545,29,4,34,17,59.98981004,0.520802638,North Central
Anuradhapura,2020,1416.799609,-65.96476877,35,2,19,16,75.48142206,0.439546179,North Central
Anuradhapura,2021,1748.100439,265.3360611,40,0,27,23,48.48996698,0.436453951,North Central
Anuradhapura,2022,1417.142651,-65.62172687,33,1,43,19,50.78916132,0.46042538,North Central
Anuradhapura,2023,1811.363997,328.5996187,45,2,20,27,57.34509277,0.536002979,North Central
Anuradhapura,2024,1389.215049,-93.54932914,27,2,31,22,58.64120629,0.456007343,North Central
Anuradhapura,2025,1583.803924,101.0395457,40,2,42,19,87.04309082,0.591889028,North Central
Anuradhapura,2026,84.25781404,-1398.506564,3,0,18,8,15.46210589,0,North Central
Badulla,2010,2708.612094,433.9639629,48,3,24,39,63.97042569,0.68714821,Uva
Badulla,2011,2768.897358,494.2492276,46,6,13,32,73.48429732,0.627474579,Uva
Badulla,2012,2270.423455,-4.22467574,29,5,11,46,106.8956854,0.619367763,Uva
Badulla,2013,2393.469377,118.8212466,37,2,12,27,81.92185835,0.487740973,Uva
Badulla,2014,2604.267567,329.6194359,40,7,19,22,85.12890625,0.68541069,Uva
Badulla,2015,2256.807852,-17.84027851,27,1,21,63,54.87364613,0.563019668,Uva
Badulla,2016,1531.075187,-743.5729433,17,3,11,22,71.28178267,0.341921671,Uva
Badulla,2017,2327.888486,53.24035533,39,2,19,22,54.74454013,0.488882251,Uva
Badulla,2018,2276.32284,1.674709,29,0,15,62,40.24179632,0.445268465,Uva
Badulla,2019,2430.214982,155.5668512,40,1,12,40,50.73661111,0.44076599,Uva
Badulla,2020,1971.598759,-303.0493719,22,0,13,33,40.05680708,0.2999513,Uva
Badulla,2021,2638.36004,363.7119091,43,0,11,24,49.01123602,0.38148372,Uva
Badulla,2022,2392.013818,117.3656869,36,3,12,26,75.82376376,0.487765233,Uva
Badulla,2023,2965.021639,690.3735082,55,1,9,63,53.83645352,0.560196739,Uva
Badulla,2024,2146.459191,-128.1889401,30,5,21,22,76.65999534,0.586143436,Uva
Badulla,2025,2867.094954,592.4468234,46,8,14,28,87.15261563,0.707500456,Uva
Badulla,2026,120.490624,-2154.157507,4,0,20,4,37.43002319,0.122222222,Uva
Batticaloa,2010,1883.983689,191.3416531,41,5,30,23,77.25256348,0.6431561,Eastern
Batticaloa,2011,2570.356015,877.713979,53,11,32,18,86.68225098,0.822570368,Eastern
Batticaloa,2012,1841.644288,149.0022521,40,7,36,12,120.5184055,0.729026008,Eastern
Batticaloa,2013,1729.121737,36.47970164,37,4,20,12,84.46399604,0.45595258,Eastern
Batticaloa,2014,2262.699351,570.0573156,44,11,33,13,98.04392497,0.766915169,Eastern
Batticaloa,2015,1773.497379,80.85534325,41,3,16,23,59.08657498,0.450115755,Eastern
Batticaloa,2016,1180.031351,-512.6106846,19,4,21,16,75.04401313,0.374272128,Eastern
Batticaloa,2017,1448.634099,-244.0079369,28,2,22,18,55.69388156,0.374949127,Eastern
Batticaloa,2018,1482.075324,-210.5667119,32,0,21,28,41.79217529,0.395255589,Eastern
Batticaloa,2019,1743.122073,50.48003754,32,6,32,15,86.79701742,0.596891663,Eastern
Batticaloa,2020,1506.481074,-186.1609613,24,3,18,12,63.92382813,0.321092396,Eastern
Batticaloa,2021,1857.716924,165.0748888,37,2,26,20,60.83973524,0.492467237,Eastern
Batticaloa,2022,1731.496744,38.8547085,38,3,17,12,72.37356906,0.393770132,Eastern
Batticaloa,2023,2068.396621,375.754585,48,4,16,16,74.45397271,0.491204118,Eastern
Batticaloa,2024,1636.877576,-55.76446014,31,5,25,19,96.18060981,0.561536169,Eastern
Batticaloa,2025,1907.390107,214.7480717,39,7,21,10,80.96583388,0.506927358,Eastern
Batticaloa,2026,151.3902542,-1541.251781,4,0,18,5,47.56086222,0.028879214,Eastern
Colombo,2010,3698.23312,800.0174778,59,9,17,22,74.91645813,0.693613653,Western
Colombo,2011,2783.691783,-114.5238588,36,3,11,22,53.97481537,0.384498556,Western
Colombo,2012,2806.214537,-92.00110535,32,5,25,39,65.75395203,0.604926607,Western
Colombo,2013,2910.486666,12.27102419,31,5,10,20,125.3333511,0.50838104,Western
Colombo,2014,3351.919354,453.7037121,47,3,18,29,60.16386414,0.534116491,Western
Colombo,2015,2941.202927,42.9872845,27,0,16,37,44.25654221,0.373604843,Western
