State,District,Year,Population_Density,Labour Force Participation rate_M,Labour Force Participation rate_F,Economically Active Population_M (%),Economically Active Population_F (%),Literacy Rate_M,Literacy Rate_F,Exposure Score
Eastern,Ampara,2006,,,,,,,,
Eastern,Ampara,2007,,,,,,,,
Eastern,Ampara,2008,,66.8,20.9,74.6,25.4,85.4,83.2,0.362564124
Eastern,Ampara,2009,,66.4,18.8,76.4,23.6,94.1,88.4,0.464694907
Eastern,Ampara,2010,150.05,67.1,18.2,76.2,23.8,92.5,87.2,0.385734034
Eastern,Ampara,2011,,65.4,17,78,22,91.3,83.4,0.393671493
Eastern,Ampara,2012,,62.8,16.6,77.8,22.2,93.4,87,0.418073056
Eastern,Ampara,2013,,73.9,18.7,77.6,22.4,94,89.9,0.518659975
Eastern,Ampara,2014,,76.7,21.7,74.6,25.4,92.6,89.2,0.531102273
Eastern,Ampara,2015,155.76,71,20.5,75.7,24.3,93.1,89.1,0.429734267
Eastern,Ampara,2016,,71.3,21,74.8,25.2,93.9,88.5,0.5027877
Eastern,Ampara,2017,,72.4,23.2,72.4,27.6,90.6,84.6,0.46376333
Eastern,Ampara,2018,,73.9,21.8,74.7,25.3,91.5,87,0.490393502
Eastern,Ampara,2019,,70.6,19.8,75.9,24.1,92.7,87.3,0.474758521
Eastern,Ampara,2020,158.99,69.4,20,74.7,25.3,91.3,88.2,0.400463377
Eastern,Ampara,2021,,65.8,16.3,77.6,22.4,93.8,87.8,0.443904526
North Central,Anuradhapura,2006,,72.9,40.7,60.6,39.4,93.3,93.3,0.620300909
North Central,Anuradhapura,2007,,72.5,45.4,58.6,41.4,91.8,89,0.596923557
North Central,Anuradhapura,2008,,70.2,46.4,58.1,41.9,95.1,94.3,0.65087044
North Central,Anuradhapura,2009,,71.1,44.8,58.5,41.5,93.4,89.1,0.601328853
North Central,Anuradhapura,2010,119.95,74.1,47.4,57.9,42.1,92.7,89.3,0.540027613
North Central,Anuradhapura,2011,,72.2,46.6,59.1,40.9,94.2,90.8,0.633743787
North Central,Anuradhapura,2012,,69.4,40.5,60.1,39.9,96.4,92,0.61875801
North Central,Anuradhapura,2013,,84.2,51.6,57.8,42.2,93.1,92.3,0.727545002
North Central,Anuradhapura,2014,,81.4,45.7,60.6,39.4,94,93.3,0.700052526
North Central,Anuradhapura,2015,127.02,79.9,46.7,58.6,41.4,94.4,93.4,0.603732505
North Central,Anuradhapura,2016,,78.3,44.3,58.3,41.7,94.7,93.6,0.683525612
North Central,Anuradhapura,2017,,78.7,46.7,58.5,41.5,93.5,92.1,0.675592396
North Central,Anuradhapura,2018,,77,41.3,60.3,39.7,94.2,92.6,0.651971879
North Central,Anuradhapura,2019,,77.3,42,59.7,40.3,92.9,91.9,0.640297377
North Central,Anuradhapura,2020,132.23,76.8,39.7,61.3,38.7,93.1,92.9,0.549223694
North Central,Anuradhapura,2021,,75.8,38.8,62,38,94.9,92.6,0.640561333
Uva,Badulla,2006,,71,50.3,56.3,43.7,93.6,90.6,0.635207253
Uva,Badulla,2007,,67.6,43.4,57.9,42.1,87.8,82.7,0.48186902
Uva,Badulla,2008,,70.5,49.9,55.6,44.4,91.3,90.7,0.60966043
Uva,Badulla,2009,,68.1,46.6,55,45,90.5,82.3,0.52111191
Uva,Badulla,2010,289.28,68.4,43.6,58.8,41.2,87.7,83.2,0.430392253
Uva,Badulla,2011,,70.7,43.6,58.6,41.4,86.1,82.4,0.484008804
Uva,Badulla,2012,,70.2,41.1,59.9,40.1,87.9,82.4,0.487129559
Uva,Badulla,2013,,79.1,46.1,57.2,42.8,91.3,87.1,0.623810148
Uva,Badulla,2014,,76.9,43.8,59.6,40.4,91.3,87.4,0.602473143
Uva,Badulla,2015,294.78,75.8,46.6,57.6,42.4,92.7,88.1,0.546471785
Uva,Badulla,2016,,76.5,42.4,60.1,39.9,93.8,88,0.621122782
Uva,Badulla,2017,,74.8,47.2,56.6,43.4,91.6,85.4,0.5942968
Uva,Badulla,2018,,72.2,40.4,60.5,39.5,91.9,84.5,0.54677594
Uva,Badulla,2019,,71.6,36.2,63.6,36.4,90.3,86.7,0.524168227
Uva,Badulla,2020,296.32,70.1,33.2,65,35,91.6,85,0.44264376
Uva,Badulla,2021,,73,38.3,61.5,38.5,88.7,84.5,0.512999494
Eastern,Batticaloa,2006,,,,,,,,
Eastern,Batticaloa,2007,,,,,,,,
Eastern,Batticaloa,2008,,66.8,16.2,77.1,22.9,91.6,88.4,0.432870112
Eastern,Batticaloa,2009,,64.8,20.6,73.3,26.7,86.2,82.8,0.353992097
Eastern,Batticaloa,2010,211.83,63.1,18.6,75.1,24.9,84,81.3,0.269187015
Eastern,Batticaloa,2011,,60.2,17.8,75.5,24.5,83.9,80.9,0.280686046
Eastern,Batticaloa,2012,,64.2,19,75.6,24.4,84.2,81.2,0.314937947
Eastern,Batticaloa,2013,,74,20.5,74.3,25.7,83.9,78.5,0.361684916
Eastern,Batticaloa,2014,,72.5,20,75.1,24.9,83.5,80.3,0.35789024
Eastern,Batticaloa,2015,213.02,72.7,22.3,72,28,81.4,81.6,0.313924174
Eastern,Batticaloa,2016,,73.3,23,70.5,29.5,87.1,84,0.432098239
Eastern,Batticaloa,2017,,71.2,21.7,72.3,27.7,85.6,83.8,0.398516519
Eastern,Batticaloa,2018,,74.1,22.5,73,27,84.9,83.7,0.412528311
Eastern,Batticaloa,2019,,72.6,25.4,71.3,28.7,87.3,84.4,0.442320384
Eastern,Batticaloa,2020,212.15,71.8,23.2,71.7,28.3,87.1,81.4,0.356847227
Eastern,Batticaloa,2021,,73.5,24.4,69.6,30.4,86.5,84.3,0.435531963
Western,Colombo,2006,,67.6,29.6,67.6,32.4,93.2,89.9,0.518716535
Western,Colombo,2007,,68.7,31.4,66.9,33.1,94.9,93.7,0.572619972
Western,Colombo,2008,,67.3,31.6,66.3,33.7,92.8,90,0.522238361
Western,Colombo,2009,,65.5,29.7,66.2,33.8,97,95.8,0.578482614
Western,Colombo,2010,3483.52,65.1,27.4,67.4,32.6,96.4,95.2,0.612872983
Western,Colombo,2011,,65.5,29.3,67,33,96.8,96,0.576176809
Western,Colombo,2012,,65.1,28.9,66.6,33.4,97,94.8,0.566405342
Western,Colombo,2013,,71.4,32.1,66.9,33.1,96.2,94.9,0.611720092
Western,Colombo,2014,,71.8,32.2,66.5,33.5,96.2,95.6,0.618963622
Western,Colombo,2015,3597.06,72.1,31.8,66.4,33.6,96.7,96.2,0.677776016
