State,District,Year,Child Homicide Cases,Attempted Child Murder Cases,Child Serious Injury Cases,Child Assault Cases,Child Sexual Exploitation Cases,Child Abduction Cases,Child Kidnapping Cases,Child Rape Cases,Child Sexual Offence Cases,Child Trafficking Cases,Child Aggravated Sexual Abuse Cases,Adultery Cases,Child Cruelty Cases,Child Indecent Acts Cases,Child Sexual Harassment Cases,Child Assault & Injury Cases,Child Exposure to Obscene Content Cases,Child Exploitation & Assault Cases,Child Domestic Violence Exposure Cases,Child Protection & Guardianship Cases,Child Media-Related Offence Cases,Child Education Neglect Cases,Child Verbal Abuse Cases,Vulnerability Score
Eastern,Ampara,2020,0.0,0.0,1.0,0.0,0.0,0.0,15.0,43.0,0.0,0.0,18.0,0.0,2.0,0.0,38.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.20261572481470366
Eastern,Ampara,2021,2.0,0.0,1.0,0.0,0.0,0.0,18.0,35.0,0.0,0.0,14.0,1.0,1.0,0.0,37.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.21770426736769827
Eastern,Ampara,2022,2.0,0.0,6.0,1.0,0.0,0.0,21.0,38.0,0.0,0.0,13.0,4.0,5.0,0.0,50.0,31.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.33702992973535684
Eastern,Ampara,2023,1.0,,6.0,,,,18.0,51.0,,,11.0,3.0,1.0,,29.0,28.0,,,,,4.0,,,0.5793041864223317
Eastern,Ampara,2024,2.0,0.0,4.0,0.0,0.0,0.0,17.0,40.0,0.0,0.0,9.0,0.0,4.0,0.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22428796591103453
North Central,Anuradhapura,2020,0.0,1.0,0.0,0.0,1.0,0.0,55.0,139.0,0.0,0.0,68.0,4.0,8.0,0.0,88.0,54.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.37791937764840494
North Central,Anuradhapura,2021,1.0,1.0,0.0,0.0,0.0,1.0,43.0,131.0,0.0,0.0,59.0,2.0,16.0,0.0,113.0,40.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.38085451805200504
North Central,Anuradhapura,2022,0.0,0.0,2.0,0.0,0.0,4.0,29.0,97.0,0.0,1.0,33.0,2.0,1.0,0.0,59.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36139347778656294
North Central,Anuradhapura,2023,1.0,1.0,6.0,,,,26.0,92.0,,,39.0,1.0,1.0,,73.0,44.0,1.0,8.0,7.0,,,,,0.6927472906399716
North Central,Anuradhapura,2024,0.0,0.0,7.0,0.0,0.0,0.0,23.0,63.0,0.0,0.0,29.0,0.0,4.0,0.0,42.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2877805015773206
Uva,Badulla,2020,0.0,0.0,1.0,0.0,0.0,0.0,15.0,32.0,0.0,0.0,8.0,1.0,1.0,0.0,39.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18164091030995425
Uva,Badulla,2021,0.0,1.0,1.0,1.0,0.0,0.0,17.0,31.0,0.0,0.0,7.0,6.0,3.0,0.0,39.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558434010999753
Uva,Badulla,2022,1.0,2.0,1.0,0.0,0.0,1.0,16.0,34.0,0.0,0.0,3.0,1.0,1.0,0.0,41.0,19.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,0.276378931788341
Uva,Badulla,2023,,2.0,,,,,7.0,31.0,,,11.0,4.0,,,30.0,18.0,1.0,,,,13.0,,,0.5983022602068301
Uva,Badulla,2024,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,12.0,1.0,2.0,0.0,17.0,20.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.19642569362348786
