district,state,year,rainfall_mm,anomaly,H1_percentile,H2_zscore_pct,H3,H4,H5,H6,H7,Tier1_Hazard
adilabad,telangana,1980,0,-1.214168213,0.528846154,0.414022298,0,0,0.571428571,0,0,0.212426342
adilabad,telangana,1981,1463.564302,5.443545627,0.506837607,0.470663181,5.999999999,0.019230769,1,1,0.783934672,0.311577535
adilabad,telangana,1982,853.3784591,-6.314146892,0.460420776,0.438736971,4.142857142,0.012820513,1,0.571428571,0.4910216,0.28256053
adilabad,telangana,1983,1365.667002,3.537555856,0.515857166,0.514946728,6.714285713,0,1,0.857142857,0.335545747,0.324171626
adilabad,telangana,1984,1095.991311,-1.64031991,0.475685373,0.463012557,3.571428571,0.012578616,1,1,1,0.296187437
adilabad,telangana,1985,1357.812284,3.386503594,0.502822978,0.496944683,5.571428571,0.025641026,1,0.714285714,0.412412437,0.313002772
adilabad,telangana,1986,938.8393078,-4.670669033,0.450123274,0.438407112,3.571428571,0.012820513,1,0.571428571,0.515065099,0.285120678
adilabad,telangana,1987,913.1691911,-5.140975734,0.475398586,0.466420372,3.857142857,0.012820513,1,0.714285714,0.373346182,0.28935009
adilabad,telangana,1988,1377.017807,3.755840559,0.544744412,0.535101102,5.571428571,0.012820513,1,0.857142857,0.400180179,0.3314615
adilabad,telangana,1989,1202.572065,0.401114767,0.515154504,0.506531205,4.571428571,0.019230769,1,0.714285714,0.647543353,0.312216519
adilabad,telangana,1990,1485.603973,5.710862409,0.529055797,0.5295762,6.142857142,0.044025157,1,1,0.536799928,0.333622589
adilabad,telangana,1991,1028.361822,-2.949082231,0.448368672,0.448768802,3.571428571,0.006410256,1,0.857142857,0.662682529,0.289438078
adilabad,telangana,1992,1026.309954,-2.965191825,0.427596976,0.42094521,4.714285714,0.012820513,1,0.714285714,0.4761004,0.285206116
adilabad,telangana,1993,1170.81464,-0.209604946,0.512191815,0.49886611,5.142857142,0.006410256,1,0.714285714,0.459293748,0.309345413
adilabad,telangana,1994,1188.739267,0.135099406,0.50868261,0.510534866,5.285714285,0.019230769,1,0.714285714,0.436183135,0.319350723
adilabad,telangana,1995,1347.312661,3.184587765,0.496655161,0.501245217,6.285714285,0,1,0.714285714,0.337066177,0.312148584
adilabad,telangana,1996,997.4268431,-3.500026842,0.455801484,0.451013787,4.857142856,0,1,0.571428571,0.337060917,0.290942099
adilabad,telangana,1997,904.226665,-5.336296779,0.455493918,0.4426994,3.571428571,0.012820513,1,0.428571429,0.463319024,0.288354428
adilabad,telangana,1998,1265.266656,1.630129366,0.518010355,0.510464771,5.714285713,0.006410256,1,1,0.476436746,0.316564536
adilabad,telangana,1999,1249.297626,1.299683233,0.496622288,0.515429146,4.999999999,0.006410256,1,1,0.369853596,0.312817834
adilabad,telangana,2000,1150.613476,-0.598088867,0.488178008,0.491031963,4.999999999,0,1,0.571428571,0.326257255,0.30520429
adilabad,telangana,2001,1284.836809,1.922802707,0.513602645,0.516092754,5.714285713,0.018867925,1,1,0.441325558,0.321942424
adilabad,telangana,2002,904.0250549,-5.340173896,0.430358317,0.443157079,3,0.012820513,1,0.857142857,0.479702804,0.284120931
adilabad,telangana,2003,1140.631203,-0.790055658,0.493236358,0.486607732,4.571428571,0,1,1,0.308206636,0.304903772
adilabad,telangana,2004,976.6659122,-3.919884943,0.452991453,0.451762271,4.428571428,0.006410256,1,1,0.383711029,0.288873135
adilabad,telangana,2005,1382.156917,3.854669608,0.527761341,0.510893588,5.714285713,0.012820513,1,1,0.369775561,0.32471055
adilabad,telangana,2006,1378.500155,3.784347261,0.510585141,0.501591569,4.999999999,0.044871795,1,0.714285714,0.519427095,0.323485959
adilabad,telangana,2007,1274.114766,1.720500005,0.503749395,0.496342924,5.714285713,0.006289308,1,1,0.513677116,0.311845699
adilabad,telangana,2008,1136.538166,-0.868767906,0.455892505,0.479177662,4.571428571,0.006410256,1,0.714285714,0.370923944,0.292070001
adilabad,telangana,2009,943.7249625,-4.553364746,0.425484878,0.432135671,3.571428571,0.006410256,1,0.857142857,0.39785403,0.284447313
adilabad,telangana,2010,1648.243666,8.971722467,0.567562459,0.561881515,7.57142857,0.025641026,1,1,0.502858624,0.347413904
adilabad,telangana,2011,1091.406741,-1.736679935,0.465894149,0.482096913,4.857142856,0.006410256,1,0.857142857,0.41650777,0.304144399
adilabad,telangana,2012,1409.081002,4.267032754,0.509651669,0.496351015,6.285714285,0.031446541,1,0.714285714,0.543601171,0.316330554
adilabad,telangana,2013,1504.166296,6.201003815,0.529655654,0.517338204,6.142857142,0.019230769,1,0.857142857,0.454451999,0.330965458
adilabad,telangana,2014,1095.065979,-1.666309969,0.452679158,0.476423341,4.142857142,0.019230769,1,1,0.472301195,0.297309426
adilabad,telangana,2015,1142.518951,-0.730403434,0.482018409,0.478456096,3.999999999,0,1,1,0.326662267,0.301913769
adilabad,telangana,2016,1440.591061,4.978403146,0.540175049,0.537212198,6.714285713,0.006410256,1,1,0.368381239,0.337235423
adilabad,telangana,2017,1193.22308,0.221326581,0.514977811,0.499995877,4.999999999,0.019230769,1,1,0.440709041,0.315049521
adilabad,telangana,2018,1326.164212,2.702565026,0.507833414,0.514591896,5.285714285,0.025157233,1,1,0.478577013,0.318150504
adilabad,telangana,2019,1550.295162,7.088097394,0.576072485,0.587540408,6.714285713,0.019230769,1,1,0.431286885,0.337663929
adilabad,telangana,2020,1472.728362,5.61977756,0.533649737,0.546427629,6.285714285,0,1,1,0.316196148,0.323069971
adilabad,telangana,2021,1402.995225,4.255406298,0.568729454,0.568825043,5.428571428,0.019230769,1,0.857142857,0.438389438,0.334195907
adilabad,telangana,2022,1785.232857,11.60612999,0.555366535,0.570548555,5.999999999,0.044871795,1,1,0.719761932,0.345590822
adilabad,telangana,2023,1165.017944,-0.321079885,0.470488166,0.470428157,5.142857142,0.019230769,1,0.714285714,0.657579937,0.310917566
adilabad,telangana,2024,1453.753515,5.109910362,0.563578455,0.574573611,6.142857142,0.012578616,1,1,0.485560317,0.338485701
adilabad,telangana,2025,1605.718631,10.16665664,0.58734844,0.598867127,7.142857142,0.023255814,1,1,0.47746835,0.358254794
agarmalwa,madhya pradesh,1980,0,-2.059527673,0.263461538,0.104764107,0,0,0.571428571,0,0,0.110107886
agarmalwa,madhya pradesh,1981,699.4786373,-3.58638233,0.489377876,0.439456878,3.857142857,0,1,1,0.230799678,0.29591057
agarmalwa,madhya pradesh,1982,864.362382,-0.455147388,0.510991946,0.481414111,4.714285714,0.012820513,1,0.857142857,0.343523007,0.313402361
agarmalwa,madhya pradesh,1983,1164.391854,5.314650155,0.542430966,0.497687327,5.999999999,0.012820513,1,1,0.499799642,0.325834016
agarmalwa,madhya pradesh,1984,699.1817006,-3.602035344,0.453471214,0.39771438,3.285714285,0.018867925,1,0.857142857,0.485582902,0.279252462
agarmalwa,madhya pradesh,1985,909.5497106,0.413839701,0.463428665,0.420470718,4.142857142,0.025641026,1,0.857142857,0.394245365,0.29533524
agarmalwa,madhya pradesh,1986,1116.394914,4.391632078,0.462804076,0.431669394,4.571428571,0.032051282,1,1,0.574080878,0.305671142
agarmalwa,madhya pradesh,1987,832.4940574,-1.028393482,0.496162064,0.445416459,4.428571428,0.019230769,1,1,0.374106511,0.304070997
agarmalwa,madhya pradesh,1988,1047.365495,3.064143249,0.514690171,0.480542411,5.285714285,0.019230769,1,0.714285714,0.317510421,0.317258167
agarmalwa,madhya pradesh,1989,717.651129,-3.276517638,0.442229619,0.397428485,4.571428571,0,1,1,0.267248551,0.283017061
agarmalwa,madhya pradesh,1990,1096.218115,3.889217764,0.491436865,0.477815789,4.999999999,0.018867925,1,0.714285714,0.540517876,0.311023133
agarmalwa,madhya pradesh,1991,796.4370219,-1.761404312,0.444284188,0.390196933,3.714285714,0.019230769,1,0.857142857,0.349041042,0.280732543
agarmalwa,madhya pradesh,1992,575.9336161,-5.962248122,0.406360947,0.377877499,3.428571428,0.012820513,1,1,0.35044523,0.268574681
agarmalwa,madhya pradesh,1993,897.8572238,0.188984186,0.519407462,0.473595496,4.428571428,0.012820513,1,0.714285714,0.361331004,0.313142961
agarmalwa,madhya pradesh,1994,1192.538805,5.855937661,0.534389382,0.482134598,6.428571428,0.019230769,1,0.857142857,0.56806824,0.32289398
agarmalwa,madhya pradesh,1995,743.4109466,-2.78113653,0.46732002,0.424077599,3.285714285,0.019230769,1,0.714285714,0.383028213,0.291930434
agarmalwa,madhya pradesh,1996,1170.999688,5.300190833,0.497500403,0.443483497,4.285714285,0.037735849,1,1,0.702869957,0.306163483
agarmalwa,madhya pradesh,1997,756.3485874,-2.532335745,0.476849112,0.473840105,3.285714285,0.006410256,1,0.714285714,0.38829982,0.294787122
agarmalwa,madhya pradesh,1998,896.4240145,0.20102877,0.486501479,0.443117128,5.428571428,0.006410256,1,0.857142857,0.348719678,0.301893474
agarmalwa,madhya pradesh,1999,930.2389055,0.811708834,0.489612097,0.475636875,6.57142857,0.006410256,1,1,0.375037303,0.31186496
agarmalwa,madhya pradesh,2000,862.1085951,-0.498489443,0.454828238,0.446750694,4.428571428,0.012820513,1,0.714285714,0.41378412,0.295216096
agarmalwa,madhya pradesh,2001,796.9789035,-1.7568051,0.507789066,0.448972824,4.142857142,0.006289308,1,1,0.435546855,0.30717119
agarmalwa,madhya pradesh,2002,556.7001879,-6.371728044,0.440717456,0.396334413,3.428571428,0,1,0.714285714,0.222235822,0.277018613
agarmalwa,madhya pradesh,2003,860.9372851,-0.521014635,0.462006903,0.414150893,4.999999999,0,1,1,0.243164153,0.293404606
agarmalwa,madhya pradesh,2004,901.2367535,0.293581443,0.493404832,0.437806874,3.999999999,0.019230769,1,0.857142857,0.442569446,0.303702426
agarmalwa,madhya pradesh,2005,862.4773502,-0.491397999,0.513847798,0.464624991,4.142857142,0.019230769,1,1,0.366947862,0.308495012
agarmalwa,madhya pradesh,2006,1407.753563,9.994683024,0.500846483,0.461778624,5.857142856,0.051282051,1,0.857142857,0.532806067,0.317158583
agarmalwa,madhya pradesh,2007,857.9336259,-0.606715999,0.461820674,0.429773271,4.142857142,0.031446541,1,0.857142857,1,0.299133178
agarmalwa,madhya pradesh,2008,742.6355336,-2.796048319,0.476466963,0.428925318,5.142857142,0,1,0.571428571,0.240246937,0.295128064
agarmalwa,madhya pradesh,2009,791.9534148,-1.808021225,0.49331854,0.461960969,4.714285714,0.019230769,1,0.714285714,0.407850915,0.306119674
agarmalwa,madhya pradesh,2010,892.9093676,0.093833105,0.469822485,0.418433786,4.714285714,0.006410256,1,0.714285714,0.275062339,0.292716496
agarmalwa,madhya pradesh,2011,1246.909599,6.901529856,0.501549145,0.484242688,7.142857142,0.019230769,1,1,0.352174741,0.32875856
agarmalwa,madhya pradesh,2012,927.2294078,0.700751584,0.45160458,0.416455762,5.142857142,0.012578616,1,1,0.289523967,0.295202054
