district,state,year,Total Population,Children (0–6 years)(%),SC/ST Population (%),Agricultural Workforce (%),Marginal Workers (%),Non-Workers (%),Population Density,Exposure Score
adilabad,telangana,1981,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.381241345
adilabad,telangana,1982,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.381310051
adilabad,telangana,1983,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.380722621
adilabad,telangana,1984,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.379773231
adilabad,telangana,1985,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.378712565
adilabad,telangana,1986,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.377332386
adilabad,telangana,1987,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.375508512
adilabad,telangana,1988,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.373474945
adilabad,telangana,1989,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.371195855
adilabad,telangana,1990,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.3686274
adilabad,telangana,1991,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.365629119
adilabad,telangana,1992,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.360965287
adilabad,telangana,1993,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.35568595
adilabad,telangana,1994,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.349668276
adilabad,telangana,1995,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.341857889
adilabad,telangana,1996,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.331538104
adilabad,telangana,1997,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.322258913
adilabad,telangana,1998,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.31395315
adilabad,telangana,1999,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.311255383
adilabad,telangana,2000,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.307087434
adilabad,telangana,2001,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.301507847
adilabad,telangana,2002,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.301776634
adilabad,telangana,2003,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.302188712
adilabad,telangana,2004,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.303037089
adilabad,telangana,2005,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.303907885
adilabad,telangana,2006,2741239,0.113084631,0.35910404,0.309585921,0.093828739,0.517128204,170.8649413,0.304902221
