district,state,year,pop_density
AndamanandNicobar,NicobarIslands,2005,23.14
AndamanandNicobar,NorthandMiddleAndaman,2005,31.38
AndamanandNicobar,SouthAndaman,2005,89.59
AndhraPradesh,Anantapur,2005,209.92
AndhraPradesh,Chittoor,2005,272.85
AndhraPradesh,EastGodavari,2005,496.25
AndhraPradesh,Guntur,2005,430.31
AndhraPradesh,Krishna,2005,516.35
AndhraPradesh,Kurnool,2005,222
AndhraPradesh,Nellore,2005,224.53
AndhraPradesh,Prakasam,2005,188.73
AndhraPradesh,Srikakulam,2005,450.71
AndhraPradesh,Visakhapatnam,2005,374.7
AndhraPradesh,Vizianagaram,2005,385.38
AndhraPradesh,WestGodavari,2005,526.29
AndhraPradesh,Y.S.R.,2005,187.77
ArunachalPradesh,Anjaw,2005,5.27
ArunachalPradesh,Anjaw,2005,5.92
ArunachalPradesh,Anjaw,2005,1.93
ArunachalPradesh,Anjaw,2005,2.17
ArunachalPradesh,Changlang,2005,27.66
ArunachalPradesh,DibangValley,2005,0.73
ArunachalPradesh,EastKameng,2005,13.88
ArunachalPradesh,EastSiang,2005,63.11
ArunachalPradesh,EastSiang,2005,35.48
ArunachalPradesh,EastSiang,2005,22.36
ArunachalPradesh,EastSiang,2005,12.57
ArunachalPradesh,KurungKumey,2005,7.14
ArunachalPradesh,Lohit,2005,19.82
ArunachalPradesh,Lohit,2005,0
ArunachalPradesh,Lohit,2005,544.52
ArunachalPradesh,Lohit,2005,0
ArunachalPradesh,Longding,2005,51.6
ArunachalPradesh,LowerDibangValley,2005,32.82
ArunachalPradesh,LowerDibangValley,2005,6.18
ArunachalPradesh,LowerDibangValley,2005,10.68
ArunachalPradesh,LowerDibangValley,2005,2.01
ArunachalPradesh,LowerSubansiri,2005,21.76
ArunachalPradesh,Namsai,2005,156.23
ArunachalPradesh,PapumPare,2005,38.92
ArunachalPradesh,Tawang,2005,19.58
ArunachalPradesh,Tirap,2005,52.45
ArunachalPradesh,UpperSiang,2005,4.59
ArunachalPradesh,UpperSubansiri,2005,10.42
ArunachalPradesh,WestKameng,2005,12.34
ArunachalPradesh,WestSiang,2005,12.94
Assam,Baksa,2005,420.18
Assam,Barpeta,2005,643.57
Assam,Bongaigaon,2005,452.74
Assam,Cachar,2005,426.73
Assam,Chirang,2005,446.18
Assam,Darrang,2005,540.9
Assam,Dhemaji,2005,232.97
Assam,Dhubri,2005,613.5
Assam,Dibrugarh,2005,369.09
Assam,DimaHasao,2005,45.88
Assam,Goalpara,2005,462.5
Assam,Golaghat,2005,295.29
Assam,Hailakandi,2005,431.1
Assam,Jorhat,2005,374.41
Assam,Kamrup,2005,413.23
Assam,KamrupMetropolitan,2005,1397.06
Assam,KarbiAnglong,2005,68.37
Assam,Karimganj,2005,601.48
Assam,Kokrajhar,2005,286.88
Assam,Lakhimpur,2005,315.35
Assam,Morigaon,2005,563.66
Assam,Nagaon,2005,652.02
Assam,Nalbari,2005,800.2
Assam,Sivasagar,2005,443.28
Assam,Sonitpur,2005,343.75
Assam,Tinsukia,2005,292.64
Assam,Udalguri,2005,399.69
Bihar,Araria,2005,923.49
Bihar,Arwal,2005,787.03
Bihar,Aurangabad,2005,719.34
Bihar,Aurangabad,2005,1011.65
Bihar,Banka,2005,681.29
Bihar,Begusarai,2005,1437.56
Bihar,Bhagalpur,2005,1006.79
Bihar,Bhojpur,2005,1078
Bihar,Buxar,2005,955.42
Bihar,Darbhanga,2005,1532.23
Bihar,Gaya,2005,806.3
Bihar,Gopalganj,2005,1147.5
Bihar,Jamui,2005,533.71
Bihar,Jehanabad,2005,1144.15
Bihar,Kaimur,2005,426.83
Bihar,Katihar,2005,867.13
Bihar,Khagaria,2005,1013.15
Bihar,Kishanganj,2005,772.89
Bihar,Lakhisarai,2005,725.26
Bihar,Madhepura,2005,976.09
Bihar,Madhubani,2005,1112.75
Bihar,Munger,2005,940.85
Bihar,Muzaffarpur,2005,1379.51
Bihar,Nalanda,2005,1180.3
Bihar,Nawada,2005,852.89
Bihar,PashchimChamparan,2005,659.79
Bihar,Patna,2005,1696.82
Bihar,PurbaChamparan,2005,1139.03
Bihar,Purnia,2005,915.41
Bihar,Rohtas,2005,734.92
Bihar,Saharsa,2005,1042.63
Bihar,Samastipur,2005,1460.4
Bihar,Saran,2005,1379.55
Bihar,Sheikhpura,2005,966.23
Bihar,Sheohar,2005,1319.36
Bihar,Sitamarhi,2005,1404.52
Bihar,Siwan,2005,1367.24
Bihar,Supaul,2005,849.43
Bihar,Vaishali,2005,1606.84
Chandigarh,Chandigarh,2005,6494.46
Chhattisgarh,Balod,2005,215.67
Chhattisgarh,BalodaBazar,2005,242.58
Chhattisgarh,Balrampur,2005,102.21
Chhattisgarh,Balrampur,2005,301.31
Chhattisgarh,Bastar,2005,134.53
Chhattisgarh,Bemetara,2005,259.67
Chhattisgarh,Bijapur,2005,28.87
Chhattisgarh,Bijapur,2005,237.28
Chhattisgarh,Bilaspur,2005,349.56
Chhattisgarh,Bilaspur,2005,70
Chhattisgarh,Dantewada,2005,92.49
Chhattisgarh,Dhamtari,2005,192.8
Chhattisgarh,Durg,2005,608.6
Chhattisgarh,Gariaband,2005,87.22
Chhattisgarh,Janjgir-Champa,2005,402.86
Chhattisgarh,Jashpur,2005,139.63
Chhattisgarh,Kabeerdham,2005,166.58
Chhattisgarh,Kondagaon,2005,105.23
Chhattisgarh,Korba,2005,172.79
Chhattisgarh,Koriya,2005,100.63
Chhattisgarh,Mahasamund,2005,195.8
Chhattisgarh,Mungeli,2005,249.43
Chhattisgarh,Narayanpur,2005,26.41
Chhattisgarh,Raigarh,2005,190.24
Chhattisgarh,Raigarh,2005,342.57
Chhattisgarh,Raipur,2005,586.56
Chhattisgarh,Rajnandgaon,2005,177.17
Chhattisgarh,Sukma,2005,44.2
Chhattisgarh,Surajpur,2005,133.92
Chhattisgarh,Surguja,2005,197.55
Chhattisgarh,UttarBastarKanker,2005,105.02
DadraandNagarHaveli,DadraandNagarHaveli,2005,669.08
DamanandDiu,Daman,2005,1239.83
DamanandDiu,Diu,2005,2185.01
Goa,NorthGoa,2005,470.42
Goa,SouthGoa,2005,327.17
Gujarat,Ahmadabad,2005,882.79
Gujarat,Amreli,2005,205.62
Gujarat,Anand,2005,822.58
Gujarat,Aravalli,2005,315.69
Gujarat,BanasKantha,2005,263.1
Gujarat,Bharuch,2005,276.52
Gujarat,Bhavnagar,2005,330.98
Gujarat,Botad,2005,263.23
Gujarat,ChhotaUdaipur,2005,299.48
Gujarat,Dahod,2005,496.33
Gujarat,DevbhumiDwarka,2005,166.97
Gujarat,Gandhinagar,2005,512.48
Gujarat,GirSomnath,2005,462.03
Gujarat,Jamnagar,2005,194.66
Gujarat,Junagadh,2005,256.68
Gujarat,Kachchh,2005,42.74
Gujarat,Kheda,2005,492.36
Gujarat,Mahesana,2005,457
Gujarat,Mahisagar,2005,375.2
Gujarat,Morbi,2005,178.62
Gujarat,Narmada,2005,198.58
Gujarat,Navsari,2005,609.89
Gujarat,PanchMahals,2005,498.85
Gujarat,Patan,2005,237.93
Gujarat,Porbandar,2005,256.17
Gujarat,Rajkot,2005,363.29
Gujarat,SabarKantha,2005,309.11
Gujarat,Surat,2005,1148.71
Gujarat,Surendranagar,2005,162.74
Gujarat,Tapi,2005,262.01
Gujarat,TheDangs,2005,129.64
Gujarat,Vadodara,2005,718.02
Gujarat,Valsad,2005,535.54
Haryana,Ambala,2005,693.46
Haryana,Bhiwani,2005,336.61
Haryana,Faridabad,2005,1604.78
Haryana,Fatehabad,2005,352.91
Haryana,Gurgaon,2005,912.24
Haryana,Hisar,2005,413.49
Haryana,Jhajjar,2005,479.71
Haryana,Jind,2005,471.62
Haryana,Kaithal,2005,470.03
Haryana,Karnal,2005,553.85
Haryana,Kurukshetra,2005,523.93
Haryana,Mahendragarh,2005,452.26
Haryana,Mewat,2005,555.32
Haryana,Palwal,2005,803.76
Haryana,Panchkula,2005,632.99
Haryana,Panipat,2005,882.04
Haryana,Rewari,2005,544.29
Haryana,Rohtak,2005,629.98
Haryana,Sirsa,2005,293.28
Haryana,Sonipat,2005,668.49
Haryana,Yamunanagar,2005,780.42
HimachalPradesh,Bilaspur,2005,1659.22
HimachalPradesh,Bilaspur,2005,332.27
HimachalPradesh,Chamba,2005,77
HimachalPradesh,Hamirpur,2005,405.46
HimachalPradesh,Hamirpur,2005,1213.97
HimachalPradesh,Kangra,2005,256.23
HimachalPradesh,Kinnaur,2005,13.43
HimachalPradesh,Kinnaur,2005,0.01
HimachalPradesh,Kinnaur,2005,0
HimachalPradesh,Kinnaur,2005,734.62
HimachalPradesh,Kinnaur,2005,0.4
HimachalPradesh,Kinnaur,2005,0.12
HimachalPradesh,Kinnaur,2005,835.42
HimachalPradesh,Kinnaur,2005,0.46
HimachalPradesh,Kinnaur,2005,0.13
HimachalPradesh,Kullu,2005,73.98
HimachalPradesh,Lahul&Spiti,2005,2.52
HimachalPradesh,Lahul&Spiti,2005,0.01
HimachalPradesh,Lahul&Spiti,2005,178.06
HimachalPradesh,Lahul&Spiti,2005,0.36
HimachalPradesh,Mandi,2005,254.95
HimachalPradesh,Shimla,2005,156.3
HimachalPradesh,Sirmaur,2005,167.69
HimachalPradesh,Solan,2005,309.58
HimachalPradesh,Una,2005,301.31
JammuandKashmir,Anantnag,2005,299.16
JammuandKashmir,Badgam,2005,560.36
JammuandKashmir,Bandipore,2005,67.15
JammuandKashmir,Baramulla,2005,444.75
JammuandKashmir,Doda,2005,175.64
JammuandKashmir,Ganderbal,2005,222.74
JammuandKashmir,Jammu,2005,678.42
JammuandKashmir,Kargil,2005,9.04
JammuandKashmir,Kathua,2005,206.44
JammuandKashmir,Kishtwar,2005,22.28
JammuandKashmir,Kulgam,2005,404.06
JammuandKashmir,Kupwara,2005,264
JammuandKashmir,Leh(Ladakh),2005,2.71
JammuandKashmir,Poonch,2005,289.32
JammuandKashmir,Pulwama,2005,713.92
JammuandKashmir,Rajouri,2005,175.43
JammuandKashmir,Ramban,2005,228.56
JammuandKashmir,Reasi,2005,128.63
JammuandKashmir,Samba,2005,425.22
JammuandKashmir,Shupiyan,2005,598.11
JammuandKashmir,Srinagar,2005,1659.42
JammuandKashmir,Udhampur,2005,230.9
Jharkhand,Bokaro,2005,687.01
Jharkhand,Chatra,2005,251.99
Jharkhand,Deoghar,2005,545.87
Jharkhand,Dhanbad,2005,1293.81
Jharkhand,Dumka,2005,319.75
Jharkhand,Garhwa,2005,312.39
Jharkhand,Giridih,2005,438.61
Jharkhand,Godda,2005,509.37
Jharkhand,Gumla,2005,181.04
Jharkhand,Hazaribagh,2005,354.7
Jharkhand,Jamtara,2005,375.4
Jharkhand,Khunti,2005,181.17
Jharkhand,Kodarma,2005,374.71
Jharkhand,Latehar,2005,159.26
Jharkhand,Lohardaga,2005,278.91
Jharkhand,Pakur,2005,396.81
Jharkhand,Palamu,2005,385.73
Jharkhand,PashchimiSinghbhum,2005,193.4
Jharkhand,PurbiSinghbhum,2005,669.86
Jharkhand,Ramgarh,2005,669.61
Jharkhand,Ranchi,2005,548.53
Jharkhand,Sahibganj,2005,660.25
Jharkhand,Saraikela-kharsawan,2005,290.17
Jharkhand,Simdega,2005,149.11
Karnataka,Bagalkot,2005,269.94
Karnataka,Bangalore,2005,3648.92
Karnataka,BangaloreRural,2005,433.15
Karnataka,Belgaum,2005,346.77
Karnataka,Bellary,2005,274.28
Karnataka,Bidar,2005,300.24
Karnataka,Bijapur,2005,24.04
Karnataka,Bijapur,2005,197.62
Karnataka,Chamrajnagar,2005,182.97
Karnataka,Chikballapura,2005,281.88
Karnataka,Chikmagalur,2005,168.12
Karnataka,Chitradurga,2005,194.33
Karnataka,DakshinaKannada,2005,458.36
Karnataka,Davanagere,2005,346.21
Karnataka,Dharwad,2005,415.79
Karnataka,Gadag,2005,241.12
Karnataka,Gulbarga,2005,213.24
Karnataka,Hassan,2005,268.76
Karnataka,Haveri,2005,303.45
Karnataka,Kodagu,2005,153.01
Karnataka,Kolar,2005,373.87
Karnataka,Koppal,2005,233.35
Karnataka,Mandya,2005,347.6
Karnataka,Mysore,2005,480.27
Karnataka,Raichur,2005,217.36
Karnataka,Ramanagara,2005,318.5
Karnataka,Shimoga,2005,188.55
Karnataka,Tumkur,2005,258.86
Karnataka,Udupi,2005,300.71
Karnataka,UttaraKannada,2005,144.38
Karnataka,Yadgir,2005,202.52
Kerala,Alappuzha,2005,1792.33
Kerala,Ernakulam,2005,1479.96
Kerala,Idukki,2005,234.02
Kerala,Kannur,2005,912.56
Kerala,Kasaragod,2005,619.2
Kerala,Kollam,2005,1068.77
Kerala,Kottayam,2005,960.35
Kerala,Kozhikode,2005,1400.86
Kerala,Malappuram,2005,1138.39
Kerala,Palakkad,2005,635.5
Kerala,Pathanamthitta,2005,566
Kerala,Thiruvananthapuram,2005,1638.45
Kerala,Thrissur,2005,1094.33
Kerala,Wayanad,2005,396.96
Lakshadweep,Lakshadweep,2005,1845.73
MadhyaPradesh,AgarMalwa,2005,196.29
MadhyaPradesh,Alirajpur,2005,212.93
MadhyaPradesh,Anuppur,2005,302.89
MadhyaPradesh,Ashoknagar,2005,173.32
MadhyaPradesh,Balaghat,2005,174.88
MadhyaPradesh,Barwani,2005,237.73
MadhyaPradesh,Betul,2005,153.72
MadhyaPradesh,Bhind,2005,354.92
MadhyaPradesh,Bhopal,2005,777.95
MadhyaPradesh,Burhanpur,2005,223.82
MadhyaPradesh,Chhatarpur,2005,190.87
MadhyaPradesh,Chhindwara,2005,174.09
MadhyaPradesh,Damoh,2005,163.96
MadhyaPradesh,Datia,2005,291.1
MadhyaPradesh,Dewas,2005,208.27
MadhyaPradesh,Dhar,2005,249
MadhyaPradesh,Dindori,2005,120.36
MadhyaPradesh,EastNimar,2005,159.17
MadhyaPradesh,Guna,2005,171.44
MadhyaPradesh,Gwalior,2005,411.03
MadhyaPradesh,Harda,2005,169.34
MadhyaPradesh,Hoshangabad,2005,182.55
MadhyaPradesh,Indore,2005,732.08
MadhyaPradesh,Jabalpur,2005,516.18
MadhyaPradesh,Jhabua,2005,257.47
MadhyaPradesh,Katni,2005,252.71
MadhyaPradesh,Mandla,2005,127.27
MadhyaPradesh,Mandsaur,2005,222.61
MadhyaPradesh,Morena,2005,364.36
MadhyaPradesh,Narsimhapur,2005,214.05
MadhyaPradesh,Neemuch,2005,177.7
MadhyaPradesh,Panna,2005,139.45
MadhyaPradesh,Raisen,2005,148.06
MadhyaPradesh,Rajgarh,2005,222.89
MadhyaPradesh,Ratlam,2005,277.3
MadhyaPradesh,Rewa,2005,356.42
MadhyaPradesh,Sagar,2005,223.77
MadhyaPradesh,Satna,2005,283.16
MadhyaPradesh,Sehore,2005,185.04
MadhyaPradesh,Seoni,2005,149.53
MadhyaPradesh,Shahdol,2005,150
MadhyaPradesh,Shajapur,2005,261.6
MadhyaPradesh,Sheopur,2005,104.24
MadhyaPradesh,Shivpuri,2005,152.53
MadhyaPradesh,Sidhi,2005,216.04
MadhyaPradesh,Singrauli,2005,186
MadhyaPradesh,Tikamgarh,2005,264.87
MadhyaPradesh,Ujjain,2005,311.97
MadhyaPradesh,Umaria,2005,128.48
MadhyaPradesh,Vidisha,2005,186.88
MadhyaPradesh,WestNimar,2005,209.76
Maharashtra,Ahmadnagar,2005,265.66
Maharashtra,Akola,2005,329.42
Maharashtra,Amravati,2005,234.99
Maharashtra,Aurangabad,2005,232.45
Maharashtra,Aurangabad,2005,326.91
Maharashtra,Bhandara,2005,290.83
Maharashtra,Bid,2005,223.61
Maharashtra,Buldana,2005,256.56
Maharashtra,Chandrapur,2005,198.52
Maharashtra,Dhule,2005,267.56
Maharashtra,Garhchiroli,2005,74.59
Maharashtra,Gondiya,2005,263.15
Maharashtra,Hingoli,2005,237.11
Maharashtra,Jalgaon,2005,345.7
Maharashtra,Jalna,2005,233.71
Maharashtra,Kolhapur,2005,475.26
Maharashtra,Latur,2005,317.44
Maharashtra,MumbaiCity,2005,49465.47
Maharashtra,MumbaiSuburban,2005,23901.88
Maharashtra,Nagpur,2005,451.64
Maharashtra,Nanded,2005,303.3
Maharashtra,Nandurbar,2005,251.56
Maharashtra,Nashik,2005,361.18
Maharashtra,Osmanabad,2005,222.12
Maharashtra,Palghar,2005,478.06
Maharashtra,Parbhani,2005,267.08
Maharashtra,Pune,2005,538.26
Maharashtra,Raigarh,2005,189.37
Maharashtra,Raigarh,2005,341
Maharashtra,Ratnagiri,2005,204.45
Maharashtra,Sangli,2005,343.46
Maharashtra,Satara,2005,284.37
Maharashtra,Sindhudurg,2005,171.65
Maharashtra,Solapur,2005,283.48
Maharashtra,Thane,2005,1478.44
Maharashtra,Wardha,2005,210.68
Maharashtra,Washim,2005,218.39
Maharashtra,Yavatmal,2005,199.63
Manipur,Bishnupur,2005,544.08
Manipur,Chandel,2005,40.71
Manipur,Churachandpur,2005,51.84
Manipur,ImphalEast,2005,547.95
Manipur,ImphalWest,2005,1051.12
Manipur,Senapati,2005,90.04
Manipur,Tamenglong,2005,30.9
Manipur,Thoubal,2005,664.22
Manipur,Ukhrul,2005,35.68
Meghalaya,EastGaroHills,2005,82.93
Meghalaya,EastKhasiHills,2005,264.85
Meghalaya,JaintiaHills,2005,94.5
Meghalaya,NorthGaroHills,2005,104.3
Meghalaya,RiBhoi,2005,92.14
Meghalaya,SouthGaroHills,2005,67.36
Meghalaya,SouthWestGaroHills,2005,303.68
Meghalaya,SouthWestKhasiHills,2005,69.8
Meghalaya,WestGaroHills,2005,177.45
Meghalaya,WestKhasiHills,2005,60.54
Mizoram,Aizawl,2005,104.68
Mizoram,Champhai,2005,33.11
Mizoram,Kolasib,2005,73.09
Mizoram,Lawangtlai,2005,44.04
Mizoram,Lunglei,2005,33.24
Mizoram,Mamit,2005,25.4
Mizoram,Saiha,2005,32.8
Mizoram,Serchhip,2005,42.12
Nagaland,Dimapur,2005,567.91
Nagaland,Kiphire,2005,83.44
Nagaland,Kohima,2005,179.27
Nagaland,Longleng,2005,145.32
Nagaland,Mokokchung,2005,140.87
Nagaland,Mon,2005,112.52
Nagaland,Peren,2005,54.51
Nagaland,Phek,2005,77.84
Nagaland,Tuensang,2005,88.87
Nagaland,Wokha,2005,85.34
Nagaland,Zunheboto,2005,96.1
NCTofDelhi,West,2005,10074.74
Odisha,Anugul,2005,191.53
Odisha,Balangir,2005,239.99
Odisha,Baleshwar,2005,575.54
Odisha,Bargarh,2005,235.79
Odisha,Bauda,2005,139.92
Odisha,Bhadrak,2005,565.08
Odisha,Cuttack,2005,711.19
Odisha,Debagarh,2005,109.31
Odisha,Dhenkanal,2005,273.7
Odisha,Gajapati,2005,147.35
Odisha,Ganjam,2005,412.43
Odisha,Jagatsinghapur,2005,691.33
Odisha,Jajapur,2005,633.58
Odisha,Jharsuguda,2005,263.94
Odisha,Kalahandi,2005,192.13
Odisha,Kandhamal,2005,89.21
Odisha,Kendrapara,2005,610.53
Odisha,Kendujhar,2005,213.17
Odisha,Khordha,2005,652.35
Odisha,Koraput,2005,155.63
Odisha,Malkangiri,2005,100.91
Odisha,Mayurbhanj,2005,239.09
Odisha,Nabarangapur,2005,214.29
Odisha,Nayagarh,2005,237.64
Odisha,Nuapada,2005,156.35
Odisha,Puri,2005,456.85
Odisha,Rayagada,2005,130.09
Odisha,Sambalpur,2005,170.12
Odisha,Subarnapur,2005,246.46
Odisha,Sundargarh,2005,206.41
Puducherry,Karaikal,2005,1148.2
Puducherry,Mahe,2005,1066.68
Puducherry,Puducherry,2005,3002.08
Puducherry,Yanam,2005,825.08
Punjab,Amritsar,2005,874.68
Punjab,Barnala,2005,415.13
Punjab,Bathinda,2005,418.07
Punjab,Faridkot,2005,403.25
Punjab,FatehgarhSahib,2005,487.73
Punjab,Fazilka,2005,340.6
Punjab,Firozpur,2005,369.1
Punjab,Gurdaspur,2005,641.48
Punjab,Hoshiarpur,2005,485.43
Punjab,Jalandhar,2005,841.51
Punjab,Kapurthala,2005,460.05
Punjab,Ludhiana,2005,910.85
Punjab,Mansa,2005,303.54
Punjab,Moga,2005,414.81
Punjab,Muktsar,2005,356.78
Punjab,Pathankot,2005,663.69
Punjab,Patiala,2005,552.27
Punjab,Rupnagar,2005,476.29
Punjab,SahibzadaAjitSinghNagar,2005,1036.02
Punjab,Sangrur,2005,447.11
Punjab,ShahidBhagatSinghNagar,2005,510.54
Punjab,TarnTaran,2005,433.01
Rajasthan,Ajmer,2005,284
Rajasthan,Alwar,2005,416.57
Rajasthan,Banswara,2005,368.62
Rajasthan,Baran,2005,166.12
Rajasthan,Barmer,2005,79.95
Rajasthan,Bharatpur,2005,453.78
Rajasthan,Bhilwara,2005,219.33
Rajasthan,Bikaner,2005,64.7
Rajasthan,Bundi,2005,193.01
Rajasthan,Chittaurgarh,2005,197.49
Rajasthan,Churu,2005,132.81
Rajasthan,Dausa,2005,462.72
Rajasthan,Dhaulpur,2005,378.13
Rajasthan,Dungarpur,2005,329.3
Rajasthan,Ganganagar,2005,175.3
Rajasthan,Hanumangarh,2005,176.97
Rajasthan,Jaipur,2005,534.71
Rajasthan,Jaisalmer,2005,15.05
Rajasthan,Jalor,2005,154.33
Rajasthan,Jhalawar,2005,215.94
Rajasthan,Jhunjhunun,2005,366.1
Rajasthan,Jodhpur,2005,145.56
Rajasthan,Karauli,2005,271.18
Rajasthan,Kota,2005,324.01
Rajasthan,Nagaur,2005,172.95
Rajasthan,Pali,2005,160.28
Rajasthan,Pratapgarh,2005,187.5
Rajasthan,Pratapgarh,2005,727.9
Rajasthan,Rajsamand,2005,231.8
Rajasthan,SawaiMadhopur,2005,257.37
Rajasthan,Sikar,2005,326.47
Rajasthan,Sirohi,2005,187.04
Rajasthan,Tonk,2005,183.97
Rajasthan,Udaipur,2005,232.12
Sikkim,EastSikkim,2005,295.79
Sikkim,NorthSikkim,2005,9.65
Sikkim,SouthSikkim,2005,192.28
Sikkim,WestSikkim,2005,101.82
TamilNadu,Ariyalur,2005,357.56
TamilNadu,Chennai,2005,22876.32
TamilNadu,Coimbatore,2005,746.19
TamilNadu,Cuddalore,2005,701.92
TamilNadu,Dharmapuri,2005,323.91
TamilNadu,Dindigul,2005,351.53
TamilNadu,Erode,2005,334.51
TamilNadu,Kancheepuram,2005,887.36
TamilNadu,Kanniyakumari,2005,1177.25
TamilNadu,Karur,2005,327.5
