state,year,human_val,children_val,cyber_val,kidnapping_val,vulnerability
andaman and nicobar islands,2017,0,119,3,34,0.002079572
andaman and nicobar islands,2018,0,162,30,37,0.003552274
andaman and nicobar islands,2019,0,153,23,27,0.002507954
andaman and nicobar islands,2020,2,209,17,177,0.009570201
andaman and nicobar islands,2021,2,234,15,118,0.006870113
andaman and nicobar islands,2022,1,224,27,141,0.005833739
andaman and nicobar islands,2023,4,294,23,161,0.008449258
andhra pradesh,2017,218,2397,931,1018,0.236964527
andhra pradesh,2018,240,2672,1207,1055,0.286543941
andhra pradesh,2019,245,2524,1886,902,0.301935009
andhra pradesh,2020,171,2648,1899,737,0.328285392
andhra pradesh,2021,168,2669,1875,835,0.215667376
andhra pradesh,2022,163,3308,2341,903,0.196097818
andhra pradesh,2023,120,2844,2341,746,0.146921772
arunachal pradesh,2017,0,138,1,117,0.003268761
arunachal pradesh,2018,3,166,7,135,0.006226885
arunachal pradesh,2019,0,153,8,117,0.003552213
arunachal pradesh,2020,2,113,30,78,0.006535133
arunachal pradesh,2021,3,162,47,85,0.006861323
arunachal pradesh,2022,4,143,14,70,0.005472273
arunachal pradesh,2023,6,176,24,64,0.006976232
assam,2017,262,4951,1120,7857,0.395144501
assam,2018,308,5447,2022,8966,0.49955779
assam,2019,201,6608,2231,9432,0.450827105
assam,2020,124,4622,3530,6934,0.450166024
assam,2021,203,5282,4846,7580,0.462908914
assam,2022,140,4084,1733,4560,0.237018858
assam,2023,118,10174,909,3563,0.253400614
bihar,2017,121,5386,433,8479,0.279577442
bihar,2018,127,7340,374,9935,0.323360234
bihar,2019,106,9320,1050,10707,0.395909347
bihar,2020,75,6591,1512,7889,0.385561985
bihar,2021,111,6894,1413,10198,0.379316206
bihar,2022,260,8122,1621,11822,0.472189652
bihar,2023,132,9906,4450,14371,0.4620285
chandigarh,2017,0,275,32,203,0.00769642
chandigarh,2018,0,288,0,209,0.00591926
chandigarh,2019,2,264,3,177,0.007543705
chandigarh,2020,2,67,3,35,0.004418134
chandigarh,2021,0,104,5,21,0.001825154
chandigarh,2022,0,107,5,51,0.002041906
chandigarh,2023,0,123,6,49,0.002087723
chhattisgarh,2017,48,6518,171,2109,0.152317655
chhattisgarh,2018,51,6924,139,2443,0.16142347
chhattisgarh,2019,50,5665,175,2638,0.159769878
chhattisgarh,2020,38,5056,297,2008,0.171494291
chhattisgarh,2021,29,6001,352,2681,0.153726304
chhattisgarh,2022,26,6177,439,2740,0.140213901
chhattisgarh,2023,22,5904,473,2991,0.130297104
daman and diu,2017,1,24,0,14,0.001107155
daman and diu,2018,0,34,73,30,0.003577672
daman and diu,2019,0,43,73,26,0.002127319
daman and diu,2020,2,606,120,961,0.032905325
daman and diu,2021,4,845,154,868,0.032534244
daman and diu,2022,8,920,173,1046,0.03499156
daman and diu,2023,10,910,185,1004,0.033692649
dadra and nagar haveli,2017,0,31,1,14,0.000578632
dadra and nagar haveli,2018,0,38,189,6,0.00796933
dadra and nagar haveli,2019,0,53,115,9,0.002872457
dadra and nagar haveli,2020,53,5362,168,5901,0.26883673
dadra and nagar haveli,2021,92,7118,356,4062,0.237499925
dadra and nagar haveli,2022,106,7468,685,5641,0.255531768
dadra and nagar haveli,2023,117,7769,407,5715,0.252451347
delhi,2017,95,7852,162,6095,0.250812292
delhi,2018,98,8246,0,6063,0.251940025
delhi,2019,93,7783,0,5901,0.270484117
delhi,2020,0,2,1,0,2.25E-05
delhi,2021,0,1,5,0,0.000121324
delhi,2022,0,8,3,8,0.000155667
delhi,2023,0,7,1,5,7.50E-05
goa,2017,39,196,13,86,0.030380171
goa,2018,55,182,29,105,0.0487586
goa,2019,38,167,15,71,0.03687144
goa,2020,17,125,40,45,0.026678371
goa,2021,15,151,36,52,0.014529651
goa,2022,1,184,90,84,0.005505363
goa,2023,8,196,86,77,0.009391439
gujarat,2017,9,3955,458,2094,0.106948455
gujarat,2018,13,4929,702,1996,0.123114507
gujarat,2019,11,4685,784,1813,0.11290789
gujarat,2020,13,4075,1283,1198,0.129636859
gujarat,2021,13,4515,1536,1621,0.133343153
gujarat,2022,9,4964,1417,1846,0.116974414
gujarat,2023,13,5083,1995,1792,0.114724455
haryana,2017,22,4169,504,4401,0.149721916
haryana,2018,34,4869,418,5015,0.162700577
haryana,2019,15,5119,564,4023,0.150726811
haryana,2020,14,4338,656,2949,0.154636343
haryana,2021,37,5700,622,3554,0.177112365
haryana,2022,13,6138,681,3891,0.153080912
haryana,2023,80,6401,751,4149,0.19376766
himachal pradesh,2017,11,528,56,339,0.021287241
himachal pradesh,2018,6,772,69,475,0.022624048
himachal pradesh,2019,11,748,76,455,0.027414199
himachal pradesh,2020,4,636,98,343,0.023603421
himachal pradesh,2021,5,740,70,430,0.022323574
himachal pradesh,2022,5,740,77,413,0.01960543
himachal pradesh,2023,15,704,127,439,0.025474425
jammu and kashmir,2017,1,359,63,995,0.020962085
jammu and kashmir,2018,1,473,930,1137,0.056752094
jammu and kashmir,2019,0,470,1095,961,0.042929264
jammu and kashmir,2020,140,1795,1204,1564,0.273979747
jammu and kashmir,2021,92,1867,953,1767,0.144091594
jammu and kashmir,2022,100,1917,967,1899,0.131914658
jammu and kashmir,2023,78,1626,1079,1664,0.105616404
jharkhand,2017,373,1247,720,1577,0.322235475
jharkhand,2018,140,1479,5839,1741,0.383485836
jharkhand,2019,177,1674,12020,1814,0.455307574
jharkhand,2020,13,5471,10741,2253,0.383659786
jharkhand,2021,13,7261,8136,2879,0.35090729
jharkhand,2022,18,7988,12556,3365,0.364563554
jharkhand,2023,14,8929,21889,3744,0.414831143
karnataka,2017,31,5890,3174,3005,0.294991631
karnataka,2018,27,6131,340,3027,0.146908846
karnataka,2019,32,6305,307,3080,0.161395945
karnataka,2020,166,3941,426,307,0.298990323
karnataka,2021,201,4536,626,364,0.225390726
karnataka,2022,135,5640,773,403,0.172972201
karnataka,2023,105,5903,3295,306,0.175713729
kerala,2017,53,3562,320,293,0.10176408
kerala,2018,105,4253,740,297,0.170537884
kerala,2019,180,4754,602,386,0.238322941
kerala,2020,80,17008,699,7320,0.5161608
kerala,2021,89,19173,589,9511,0.491787321
kerala,2022,81,20415,826,10409,0.471104735
kerala,2023,59,22393,685,11768,0.472386807
lakshadweep,2017,0,4,0,0,0
lakshadweep,2018,0,8,4,0,0.000159236
lakshadweep,2019,0,26,4,0,8.32E-05
lakshadweep,2020,0,9,3,0,0.000170491
lakshadweep,2021,0,17,1,1,0.00025008
lakshadweep,2022,0,11,1,0,3.61E-05
lakshadweep,2023,0,11,1,0,4.47E-05
madhya pradesh,2017,87,19038,490,7807,0.429530897
madhya pradesh,2018,63,18992,3511,8596,0.527551644
madhya pradesh,2019,73,19028,4967,9812,0.558677079
madhya pradesh,2020,184,14371,5496,8103,0.741928309
madhya pradesh,2021,320,17261,5562,10502,0.77097319
madhya pradesh,2022,295,20762,8249,12260,0.761890024
madhya pradesh,2023,388,22390,8103,13106,0.789139047
maharashtra,2017,310,16918,3604,10324,0.739501048
maharashtra,2018,311,18892,29,11443,0.619822313
maharashtra,2019,282,19592,4,11755,0.677223038
maharashtra,2020,6,125,79,81,0.013308307
maharashtra,2021,1,143,67,85,0.00565794
maharashtra,2022,0,120,18,100,0.00316422
maharashtra,2023,2,85,3,89,0.003517877
manipur,2017,8,109,74,142,0.012236956
manipur,2018,3,128,74,142,0.008497971
manipur,2019,9,148,89,129,0.013332574
manipur,2020,1,415,142,91,0.012390935
manipur,2021,1,481,107,123,0.011688741
manipur,2022,2,496,75,139,0.010503376
manipur,2023,0,512,64,94,0.007769568
meghalaya,2017,8,379,39,148,0.014078506
meghalaya,2018,24,385,6,148,0.02596519
meghalaya,2019,22,379,8,130,0.026139322
meghalaya,2020,0,142,13,3,0.00240905
meghalaya,2021,0,122,30,2,0.00234012
meghalaya,2022,0,135,1,9,0.001668176
meghalaya,2023,0,146,31,5,0.001969979
