district_clean,state_clean,year,CERI_norm,Risk_Category,
northandmiddleandaman,andaman and nicobar islands,2017,0.268649491,Low Risk,
northandmiddleandaman,andaman and nicobar islands,2018,0.30766363,Low Risk,
northandmiddleandaman,andaman and nicobar islands,2019,0.271042688,Low Risk,
northandmiddleandaman,andaman and nicobar islands,2020,0.255818834,Low Risk,
northandmiddleandaman,andaman and nicobar islands,2021,0.293857205,Low Risk,
northandmiddleandaman,andaman and nicobar islands,2022,0.26490187,Low Risk,
northandmiddleandaman,andaman and nicobar islands,2023,0.252470214,Low Risk,
southandaman,andaman and nicobar islands,2017,0.299036568,Low Risk,
southandaman,andaman and nicobar islands,2018,0.350539902,Medium Risk,
southandaman,andaman and nicobar islands,2019,0.295971348,Low Risk,
southandaman,andaman and nicobar islands,2020,0.285777652,Low Risk,
southandaman,andaman and nicobar islands,2021,0.308593365,Low Risk,
southandaman,andaman and nicobar islands,2022,0.283161265,Low Risk,
southandaman,andaman and nicobar islands,2023,0.289131913,Low Risk,
anantapur,andhra pradesh,2017,0.480837792,Medium Risk,
anantapur,andhra pradesh,2018,0.453690441,Medium Risk,
anantapur,andhra pradesh,2019,0.479584468,Medium Risk,
anantapur,andhra pradesh,2020,0.536806399,Medium Risk,
anantapur,andhra pradesh,2021,0.452334991,Medium Risk,
anantapur,andhra pradesh,2022,0.446796234,Medium Risk,
anantapur,andhra pradesh,2023,0.373849434,Medium Risk,
chittoor,andhra pradesh,2017,0.500033385,Medium Risk,
chittoor,andhra pradesh,2018,0.468312807,Medium Risk,
chittoor,andhra pradesh,2019,0.470013722,Medium Risk,
chittoor,andhra pradesh,2020,0.540512866,Medium Risk,
chittoor,andhra pradesh,2021,0.46703047,Medium Risk,
chittoor,andhra pradesh,2022,0.460221203,Medium Risk,
chittoor,andhra pradesh,2023,0.423455941,Medium Risk,
eastgodavari,andhra pradesh,2017,0.397826247,Medium Risk,
eastgodavari,andhra pradesh,2018,0.44580776,Medium Risk,
eastgodavari,andhra pradesh,2019,0.42327379,Medium Risk,
eastgodavari,andhra pradesh,2020,0.493014731,Medium Risk,
eastgodavari,andhra pradesh,2021,0.445616353,Medium Risk,
eastgodavari,andhra pradesh,2022,0.40923968,Medium Risk,
eastgodavari,andhra pradesh,2023,0.350972357,Medium Risk,
guntur,andhra pradesh,2017,0.456984376,Medium Risk,
guntur,andhra pradesh,2018,0.476108197,Medium Risk,
guntur,andhra pradesh,2019,0.464218544,Medium Risk,
guntur,andhra pradesh,2020,0.566963229,Medium Risk,
guntur,andhra pradesh,2021,0.468432119,Medium Risk,
guntur,andhra pradesh,2022,0.445193168,Medium Risk,
guntur,andhra pradesh,2023,0.399822201,Medium Risk,
krishna,andhra pradesh,2017,0.435963722,Medium Risk,
krishna,andhra pradesh,2018,0.465068032,Medium Risk,
krishna,andhra pradesh,2019,0.433571649,Medium Risk,
krishna,andhra pradesh,2020,0.536215377,Medium Risk,
krishna,andhra pradesh,2021,0.456000807,Medium Risk,
krishna,andhra pradesh,2022,0.410624414,Medium Risk,
krishna,andhra pradesh,2023,0.374360216,Medium Risk,
kurnool,andhra pradesh,2017,0.494243658,Medium Risk,
kurnool,andhra pradesh,2018,0.470105803,Medium Risk,
kurnool,andhra pradesh,2019,0.51450525,Medium Risk,
kurnool,andhra pradesh,2020,0.575711254,Medium Risk,
kurnool,andhra pradesh,2021,0.453704652,Medium Risk,
kurnool,andhra pradesh,2022,0.476147579,Medium Risk,
kurnool,andhra pradesh,2023,0.36749719,Medium Risk,
nellore,andhra pradesh,2017,0.459088724,Medium Risk,
nellore,andhra pradesh,2018,0.455072161,Medium Risk,
nellore,andhra pradesh,2019,0.482622524,Medium Risk,
nellore,andhra pradesh,2020,0.557605221,Medium Risk,
nellore,andhra pradesh,2021,0.457979871,Medium Risk,
nellore,andhra pradesh,2022,0.460478715,Medium Risk,
nellore,andhra pradesh,2023,0.391826817,Medium Risk,
prakasam,andhra pradesh,2017,0.46806319,Medium Risk,
prakasam,andhra pradesh,2018,0.473808207,Medium Risk,
prakasam,andhra pradesh,2019,0.500461006,Medium Risk,
prakasam,andhra pradesh,2020,0.592216785,Medium Risk,
prakasam,andhra pradesh,2021,0.483165526,Medium Risk,
prakasam,andhra pradesh,2022,0.474896186,Medium Risk,
prakasam,andhra pradesh,2023,0.412877457,Medium Risk,
srikakulam,andhra pradesh,2017,0.466128563,Medium Risk,
srikakulam,andhra pradesh,2018,0.487299509,Medium Risk,
srikakulam,andhra pradesh,2019,0.50844993,Medium Risk,
srikakulam,andhra pradesh,2020,0.510967502,Medium Risk,
srikakulam,andhra pradesh,2021,0.464345023,Medium Risk,
srikakulam,andhra pradesh,2022,0.441211241,Medium Risk,
srikakulam,andhra pradesh,2023,0.370321063,Medium Risk,
visakhapatnam,andhra pradesh,2017,0.443042625,Medium Risk,
visakhapatnam,andhra pradesh,2018,0.477710808,Medium Risk,
visakhapatnam,andhra pradesh,2019,0.479799611,Medium Risk,
visakhapatnam,andhra pradesh,2020,0.495801719,Medium Risk,
visakhapatnam,andhra pradesh,2021,0.457135905,Medium Risk,
visakhapatnam,andhra pradesh,2022,0.435213018,Medium Risk,
visakhapatnam,andhra pradesh,2023,0.358388113,Medium Risk,
vizianagaram,andhra pradesh,2017,0.464850157,Medium Risk,
vizianagaram,andhra pradesh,2018,0.480401836,Medium Risk,
vizianagaram,andhra pradesh,2019,0.495081277,Medium Risk,
vizianagaram,andhra pradesh,2020,0.512504889,Medium Risk,
vizianagaram,andhra pradesh,2021,0.473954316,Medium Risk,
vizianagaram,andhra pradesh,2022,0.443198085,Medium Risk,
vizianagaram,andhra pradesh,2023,0.37076557,Medium Risk,
y s r,andhra pradesh,2017,0.470113508,Medium Risk,
y s r,andhra pradesh,2018,0.459917816,Medium Risk,
y s r,andhra pradesh,2019,0.473284511,Medium Risk,
y s r,andhra pradesh,2020,0.548736561,Medium Risk,
y s r,andhra pradesh,2021,0.459221433,Medium Risk,
y s r,andhra pradesh,2022,0.462679975,Medium Risk,
y s r,andhra pradesh,2023,0.379069246,Medium Risk,
anjaw,arunachal pradesh,2017,0.348359393,Medium Risk,
anjaw,arunachal pradesh,2017,0.348333473,Medium Risk,
anjaw,arunachal pradesh,2018,0.332018107,Low Risk,
anjaw,arunachal pradesh,2018,0.331992143,Low Risk,
anjaw,arunachal pradesh,2019,0.339061223,Low Risk,
anjaw,arunachal pradesh,2019,0.339035215,Low Risk,
anjaw,arunachal pradesh,2020,0.322666505,Low Risk,
anjaw,arunachal pradesh,2020,0.322640452,Low Risk,
anjaw,arunachal pradesh,2021,0.318696275,Low Risk,
anjaw,arunachal pradesh,2021,0.31867018,Low Risk,
