Country,state,district,year,pop_density
Sri Lanka,Eastern,Ampara,2010,150.05
Sri Lanka,North Central,Anuradhapura,2010,119.95
Sri Lanka,Uva,Badulla,2010,289.28
Sri Lanka,Eastern,Batticaloa,2010,211.83
Sri Lanka,Western,Colombo,2010,3483.52
Sri Lanka,Southern,Galle,2010,668.07
Sri Lanka,Western,Gampaha,2010,1680.96
Sri Lanka,Southern,Hambantota,2010,230.59
Sri Lanka,Northern,Jaffna,2010,559.68
Sri Lanka,Western,Kalutara,2010,739.42
Sri Lanka,Central,Kandy,2010,723.86
Sri Lanka,Sabaragamuwa,Kegalle,2010,510.99
Sri Lanka,Northern,Kilinochchi,2010,98.65
Sri Lanka,North Western,Kurunegala,2010,333.37
Sri Lanka,Northern,Mannar,2010,50.77
Sri Lanka,Central,Matale,2010,237.54
Sri Lanka,Southern,Matara,2010,635.52
Sri Lanka,Uva,Moneragala,2010,78.58
Sri Lanka,Northern,Mullaitivu,2010,41.01
Sri Lanka,Central,Nuwara Eliya,2010,418.93
Sri Lanka,North Central,Polonnaruwa,2010,117.73
Sri Lanka,North Western,Puttalam,2010,246.95
Sri Lanka,Sabaragamuwa,Ratnapura,2010,334.96
Sri Lanka,Eastern,Trincomalee,2010,142.86
Sri Lanka,Northern,Vavuniya,2010,92.04
Sri Lanka,Eastern,Ampara,2015,155.76
Sri Lanka,North Central,Anuradhapura,2015,127.02
Sri Lanka,Uva,Badulla,2015,294.78
Sri Lanka,Eastern,Batticaloa,2015,213.02
Sri Lanka,Western,Colombo,2015,3597.06
Sri Lanka,Southern,Galle,2015,687.28
Sri Lanka,Western,Gampaha,2015,1759.37
Sri Lanka,Southern,Hambantota,2015,243.75
Sri Lanka,Northern,Jaffna,2015,569.59
Sri Lanka,Western,Kalutara,2015,783
Sri Lanka,Central,Kandy,2015,745.52
Sri Lanka,Sabaragamuwa,Kegalle,2015,526.16
Sri Lanka,Northern,Kilinochchi,2015,77.84
Sri Lanka,North Western,Kurunegala,2015,348.94
Sri Lanka,Northern,Mannar,2015,49.02
Sri Lanka,Central,Matale,2015,246.18
Sri Lanka,Southern,Matara,2015,651.2
Sri Lanka,Uva,Moneragala,2015,82.95
Sri Lanka,Northern,Mullaitivu,2015,28.26
Sri Lanka,Central,Nuwara Eliya,2015,419.96
Sri Lanka,North Central,Polonnaruwa,2015,123.83
Sri Lanka,North Western,Puttalam,2015,254.69
Sri Lanka,Sabaragamuwa,Ratnapura,2015,345.02
Sri Lanka,Eastern,Trincomalee,2015,150.63
Sri Lanka,Northern,Vavuniya,2015,88.85
Sri Lanka,Eastern,Ampara,2020,158.99
Sri Lanka,North Central,Anuradhapura,2020,132.23
Sri Lanka,Uva,Badulla,2020,296.32
Sri Lanka,Eastern,Batticaloa,2020,212.15
Sri Lanka,Western,Colombo,2020,3672.43
Sri Lanka,Southern,Galle,2020,696.25
Sri Lanka,Western,Gampaha,2020,1810.84
Sri Lanka,Southern,Hambantota,2020,253.19
Sri Lanka,Northern,Jaffna,2020,570.55
Sri Lanka,Western,Kalutara,2020,815.08
Sri Lanka,Central,Kandy,2020,755.22
Sri Lanka,Sabaragamuwa,Kegalle,2020,533.06
Sri Lanka,Northern,Kilinochchi,2020,60.61
Sri Lanka,North Western,Kurunegala,2020,358.69
Sri Lanka,Northern,Mannar,2020,46.23
Sri Lanka,Central,Matale,2020,251.25
