State,District,Year,Risk Score,Risk Category,Country
Eastern,Ampara,2020,0.3268520940186015,Low Risk,Sri Lanka
Eastern,Ampara,2021,0.3704409490533535,Low Risk,Sri Lanka
North Central,Anuradhapura,2020,0.471326243167187,Medium Risk,Sri Lanka
North Central,Anuradhapura,2021,0.4859566007001559,High Risk,Sri Lanka
Uva,Badulla,2020,0.3290563672957142,Low Risk,Sri Lanka
Uva,Badulla,2021,0.3834422050827466,Low Risk,Sri Lanka
Eastern,Batticaloa,2020,0.3182302499223673,Low Risk,Sri Lanka
Eastern,Batticaloa,2021,0.3978678815620566,Medium Risk,Sri Lanka
Western,Colombo,2020,0.4178474834003635,Medium Risk,Sri Lanka
Western,Colombo,2021,0.4433091789203066,Medium Risk,Sri Lanka
Southern,Galle,2020,0.3933984740902203,Low Risk,Sri Lanka
Southern,Galle,2021,0.4402946067115918,Medium Risk,Sri Lanka
Western,Gampaha,2020,0.4340611442072484,Medium Risk,Sri Lanka
Western,Gampaha,2021,0.4829226033589502,High Risk,Sri Lanka
Southern,Hambantota,2020,,Low Risk,Sri Lanka
Southern,Hambantota,2021,,Low Risk,Sri Lanka
Northern,Jaffna,2020,0.3949158882522169,Low Risk,Sri Lanka
Northern,Jaffna,2021,0.499598232843679,High Risk,Sri Lanka
Western,Kalutara,2020,0.4313096155860669,Medium Risk,Sri Lanka
Western,Kalutara,2021,0.4635120201778325,Medium Risk,Sri Lanka
Central,Kandy,2020,0.4335716287714544,Medium Risk,Sri Lanka
Central,Kandy,2021,0.3857282182799033,Low Risk,Sri Lanka
Sabaragamuwa,Kegalle,2020,0.422390622261271,Medium Risk,Sri Lanka
Sabaragamuwa,Kegalle,2021,0.4756475452551253,High Risk,Sri Lanka
Northern,Kilinochchi,2020,0.3511032838019992,Low Risk,Sri Lanka
Northern,Kilinochchi,2021,0.4740732966338792,High Risk,Sri Lanka
North Western,Kurunegala,2020,0.4286417305918632,Medium Risk,Sri Lanka
North Western,Kurunegala,2021,0.5474844302806329,High Risk,Sri Lanka
Northern,Mannar,2020,0.3255713917458043,Low Risk,Sri Lanka
Northern,Mannar,2021,0.4031452500775271,Medium Risk,Sri Lanka
Central,Matale,2020,0.3855799195366594,Low Risk,Sri Lanka
Central,Matale,2021,0.4333102034484669,Medium Risk,Sri Lanka
Southern,Matara,2020,0.4087467351643175,Medium Risk,Sri Lanka
Southern,Matara,2021,0.4228317796136907,Medium Risk,Sri Lanka
Uva,Moneragala,2020,0.364750179350488,Low Risk,Sri Lanka
Uva,Moneragala,2021,0.4267807854639794,Medium Risk,Sri Lanka
Northern,Mullaitivu,2020,0.3321947640107939,Low Risk,Sri Lanka
Northern,Mullaitivu,2021,0.3824535369188386,Low Risk,Sri Lanka
Central,Nuwara Eliya,2020,0.376811100791602,Low Risk,Sri Lanka
Central,Nuwara Eliya,2021,0.4091320326395298,Medium Risk,Sri Lanka
North Central,Polonnaruwa,2020,0.373837459419038,Low Risk,Sri Lanka
North Central,Polonnaruwa,2021,0.3894067154612297,Low Risk,Sri Lanka
North Western,Puttalam,2020,0.3887087388110291,Low Risk,Sri Lanka
