State,District,Year,Hazard Score,Exposure Score,Vulnerability Score,Risk Score,Risk Category,Country
Eastern,Ampara,2020,0.326204063,0.4517364942411012,0.2026157248147036,0.3268520940186015,Low Risk,Sri Lanka
Eastern,Ampara,2021,0.449714054,0.4439045257923625,0.2177042673676982,0.3704409490533535,Low Risk,Sri Lanka
North Central,Anuradhapura,2020,0.439546179,0.5965131728531563,0.3779193776484049,0.471326243167187,Medium Risk,Sri Lanka
North Central,Anuradhapura,2021,0.436453951,0.640561333048463,0.380854518052005,0.4859566007001559,High Risk,Sri Lanka
Uva,Badulla,2020,0.2999513,0.5055768915771885,0.1816409103099542,0.3290563672957142,Low Risk,Sri Lanka
Uva,Badulla,2021,0.38148372,0.5129994941482645,0.2558434010999753,0.3834422050827466,Low Risk,Sri Lanka
Eastern,Batticaloa,2020,0.321092396,0.4139255903802817,0.2196727633868204,0.3182302499223673,Low Risk,Sri Lanka
Eastern,Batticaloa,2021,0.492467237,0.4355319625035156,0.2656044451826542,0.3978678815620566,Medium Risk,Sri Lanka
Western,Colombo,2020,0.45653989,0.6648076733426445,0.1321948868584462,0.4178474834003635,Medium Risk,Sri Lanka
Western,Colombo,2021,0.622757693,0.6074557789841305,0.0997140647767893,0.4433091789203066,Medium Risk,Sri Lanka
Southern,Galle,2020,0.381283543,0.5748853437675334,0.2240265355031276,0.3933984740902203,Low Risk,Sri Lanka
Southern,Galle,2021,0.45652866,0.5891204717220396,0.2752346884127358,0.4402946067115918,Medium Risk,Sri Lanka
Western,Gampaha,2020,0.494821603,0.6492575687965015,0.1581042608252439,0.4340611442072484,Medium Risk,Sri Lanka
Western,Gampaha,2021,0.652022184,0.6192576237539652,0.1774880023228855,0.4829226033589502,High Risk,Sri Lanka
Southern,Hambantota,2020,0.35172124,0.5457281772309195,,,Low Risk,Sri Lanka
Southern,Hambantota,2021,0.309464999,0.5815867615129403,,,Low Risk,Sri Lanka
Northern,Jaffna,2020,0.479207148,0.5678080636560973,0.1377324531005535,0.3949158882522169,Low Risk,Sri Lanka
Northern,Jaffna,2021,0.798279222,0.5384066108662416,0.1621088656647954,0.499598232843679,High Risk,Sri Lanka
Western,Kalutara,2020,0.446312821,0.5902733078406427,0.2573427179175577,0.4313096155860669,Medium Risk,Sri Lanka
Western,Kalutara,2021,0.566267988,0.5603755113635134,0.2638925611699842,0.4635120201778325,Medium Risk,Sri Lanka
Central,Kandy,2020,0.374886507,0.6014037595090745,0.3244246198052888,0.4335716287714544,Medium Risk,Sri Lanka
Central,Kandy,2021,0.370768011,0.5486990691096646,0.2377175747300453,0.3857282182799033,Low Risk,Sri Lanka
Sabaragamuwa,Kegalle,2020,0.377000342,0.6201882306987223,0.2699832940850906,0.422390622261271,Medium Risk,Sri Lanka
Sabaragamuwa,Kegalle,2021,0.601987592,0.6079757504692481,0.2169792932961278,0.4756475452551253,High Risk,Sri Lanka
Northern,Kilinochchi,2020,0.47959694,0.4311166459175894,0.1425962654884083,0.3511032838019992,Low Risk,Sri Lanka
Northern,Kilinochchi,2021,0.775323781,0.4819725729689379,0.1649235359326999,0.4740732966338792,High Risk,Sri Lanka
North Western,Kurunegala,2020,0.36077573,0.6222554152705769,0.3028940465050128,0.4286417305918632,Medium Risk,Sri Lanka
North Western,Kurunegala,2021,0.687830359,0.615111708633349,0.3395112232085496,0.5474844302806329,High Risk,Sri Lanka
Northern,Mannar,2020,0.435094253,0.4817741203047357,0.0598458019326774,0.3255713917458043,Low Risk,Sri Lanka
Northern,Mannar,2021,0.482902659,0.633370531678147,0.0931625595544343,0.4031452500775271,Medium Risk,Sri Lanka
Central,Matale,2020,0.351115408,0.5499318693186664,0.255692481291312,0.3855799195366594,Low Risk,Sri Lanka
Central,Matale,2021,0.473410808,0.5945738255904987,0.231945976754902,0.4333102034484669,Medium Risk,Sri Lanka
Southern,Matara,2020,0.353181858,0.5691580037553537,0.3039003437375988,0.4087467351643175,Medium Risk,Sri Lanka
Southern,Matara,2021,0.398298935,0.5385244646569592,0.3316719391841128,0.4228317796136907,Medium Risk,Sri Lanka
Uva,Moneragala,2020,0.30480321,0.4843981492414665,0.3050491788099975,0.364750179350488,Low Risk,Sri Lanka
Uva,Moneragala,2021,0.395838998,0.6333054495887406,0.2511979088031977,0.4267807854639794,Medium Risk,Sri Lanka
Northern,Mullaitivu,2020,0.408463692,0.4210556798280736,0.1670649202043082,0.3321947640107939,Low Risk,Sri Lanka
Northern,Mullaitivu,2021,0.509423805,0.5010246724061881,0.1369121333503277,0.3824535369188386,Low Risk,Sri Lanka
Central,Nuwara Eliya,2020,0.305830592,0.6382676103840762,0.1863350999907299,0.376811100791602,Low Risk,Sri Lanka
Central,Nuwara Eliya,2021,0.406077251,0.6362505391535686,0.185068307765021,0.4091320326395298,Medium Risk,Sri Lanka
North Central,Polonnaruwa,2020,0.361916707,0.4702797185412039,0.2893159527159102,0.373837459419038,Low Risk,Sri Lanka
North Central,Polonnaruwa,2021,0.435762256,0.5072629768183609,0.2251949135653282,0.3894067154612297,Low Risk,Sri Lanka
North Western,Puttalam,2020,0.388969671,0.5674051091512172,0.2097514362818701,0.3887087388110291,Low Risk,Sri Lanka
North Western,Puttalam,2021,0.496788693,0.5576078067225025,0.1924435922472837,0.4156133639899287,Medium Risk,Sri Lanka
Sabaragamuwa,Ratnapura,2020,0.331055996,0.5917835258014915,0.3466699700214746,0.4231698306076554,Medium Risk,Sri Lanka
Sabaragamuwa,Ratnapura,2021,0.561169933,0.5824419594367044,0.2393585358351879,0.4609901427572975,Medium Risk,Sri Lanka
Eastern,Trincomalee,2020,0.424368713,0.4510244941539532,0.1597173627092366,0.3450368566210632,Low Risk,Sri Lanka
Eastern,Trincomalee,2021,0.494909322,0.4516173298680142,0.1764211216639424,0.3743159245106522,Low Risk,Sri Lanka
Northern,Vavuniya,2020,0.452166742,0.5037281207370913,0.1039179259635772,0.3532709295668895,Low Risk,Sri Lanka
Northern,Vavuniya,2021,0.491432066,0.4809150625567877,0.1228669922724011,0.3650713736097296,Low Risk,Sri Lanka
Eastern,Ampara,2020,0.326204063,0.4517364942411012,0.2026157248147036,0.3268520940186015,Low Risk,India
Eastern,Ampara,2021,0.449714054,0.4439045257923625,0.2177042673676982,0.3704409490533535,Low Risk,India
North Central,Anuradhapura,2020,0.439546179,0.5965131728531563,0.3779193776484049,0.471326243167187,Medium Risk,India
North Central,Anuradhapura,2021,0.436453951,0.640561333048463,0.380854518052005,0.4859566007001559,High Risk,India
Uva,Badulla,2020,0.2999513,0.5055768915771885,0.1816409103099542,0.3290563672957142,Low Risk,India
Uva,Badulla,2021,0.38148372,0.5129994941482645,0.2558434010999753,0.3834422050827466,Low Risk,India
Eastern,Batticaloa,2020,0.321092396,0.4139255903802817,0.2196727633868204,0.3182302499223673,Low Risk,India
Eastern,Batticaloa,2021,0.492467237,0.4355319625035156,0.2656044451826542,0.3978678815620566,Medium Risk,India
Western,Colombo,2020,0.45653989,0.6648076733426445,0.1321948868584462,0.4178474834003635,Medium Risk,India
Western,Colombo,2021,0.622757693,0.6074557789841305,0.0997140647767893,0.4433091789203066,Medium Risk,India
Southern,Galle,2020,0.381283543,0.5748853437675334,0.2240265355031276,0.3933984740902203,Low Risk,India
Southern,Galle,2021,0.45652866,0.5891204717220396,0.2752346884127358,0.4402946067115918,Medium Risk,India
Western,Gampaha,2020,0.494821603,0.6492575687965015,0.1581042608252439,0.4340611442072484,Medium Risk,India
Western,Gampaha,2021,0.652022184,0.6192576237539652,0.1774880023228855,0.4829226033589502,High Risk,India
