Provinces,NAME_1,year,pop_density
Eastern,Ampara,2025,161.29
North Central,Anuradhapura,2025,136.91
Uva,Badulla,2025,296.69
Eastern,Batticaloa,2025,209.75
Western,Colombo,2025,3721.26
Southern,Galle,2025,700.51
Western,Gampaha,2025,1848.29
Southern,Hambantota,2025,261.29
Northern,Jaffna,2025,570.84
Western,Kalutara,2025,843.55
Central,Kandy,2025,762.58
Sabaragamuwa,Kegalle,2025,537.48
Northern,Kilinochchi,2025,47.51
North Western,Kurunegala,2025,366.6
Northern,Mannar,2025,43.41
Central,Matale,2025,255.3
Southern,Matara,2025,661.66
Uva,Moneragala,2025,88.79
Northern,Mullaitivu,2025,13.27
Central,Nuwara Eliya,2025,409.1
North Central,Polonnaruwa,2025,131.41
North Western,Puttalam,2025,262.13
Sabaragamuwa,Ratnapura,2025,353.91
Eastern,Trincomalee,2025,160.99
Northern,Vavuniya,2025,79.66
